external_id,created_at,account_age_months,monthly_revenue,remaining_arr,logins_30d,logins_prev_30d,login_frequency_change,features_used,previous_features_used,feature_usage_change,support_tickets,negative_support,support_ticket_growth,emails_opened,emails_clicked,email_engagement,last_login_days,payment_failures,days_until_renewal,number_of_users,user_activity_variance,historical_discount,churned,upgraded,responded,high_ltv,support_30d,upgrade_arpu,expected_contribution,avoided_support_cost,incremental_margin,true_p0_churn,true_p0_upsell,true_p0_response,true_p0_high_ltv,true_p0_support
C-10031,2024-05-08,15.0,799.0,9588.0,11.0,6.0,0.8333,5.0,5.0,0.0,0.0,0.0,-1.5,1.0,0.0,0.05,13.0,0.0,136.0,28.0,0.3642,1.0,0,1,0,1,1,360.0,4299.54,40.0,80.0,0.1847,0.6565,0.3823,0.9726,0.221
C-10032,2025-05-24,7.0,49.0,588.0,10.0,19.0,-0.4737,7.0,5.0,0.4,2.0,1.0,-0.0613,3.0,1.0,0.2,25.0,0.0,70.0,28.0,0.2345,0.0,1,1,1,0,1,120.0,142.18,90.0,8.0,0.5604,0.515,0.3143,0.0856,0.5744
C-10033,2026-01-13,34.0,799.0,9588.0,0.0,1.0,-1.0,6.0,9.0,-0.3333,1.0,1.0,-0.8625,7.0,4.0,0.55,32.0,0.0,136.0,14.0,0.421,0.0,1,1,0,1,1,360.0,1651.86,65.0,80.0,0.6868,0.6075,0.411,0.4473,0.5399
C-10034,2026-03-08,53.0,149.0,1788.0,20.0,16.0,0.25,4.0,6.0,-0.3333,1.0,0.0,-0.6635,9.0,8.0,0.85,3.0,1.0,45.0,17.0,0.299,0.0,0,0,0,1,0,120.0,925.68,65.0,22.35,0.0587,0.6594,0.6682,0.2229,0.2479
C-10035,2025-04-23,5.0,249.0,2988.0,12.0,16.0,-0.25,11.0,11.0,0.0,0.0,0.0,1.1797,9.0,9.0,0.9,29.0,0.0,46.0,18.0,0.4093,0.0,0,1,1,0,0,360.0,1178.44,40.0,37.35,0.2829,0.6407,0.5646,0.2915,0.2535
C-10036,2025-03-10,51.0,49.0,588.0,0.0,10.0,-1.0,14.0,9.0,0.5556,2.0,0.0,-0.2998,8.0,5.0,0.65,20.0,0.0,149.0,24.0,0.6196,0.0,1,1,0,0,0,120.0,197.48,90.0,8.0,0.3894,0.8123,0.51,0.092,0.3318
C-10037,2025-11-19,50.0,249.0,2988.0,31.0,27.0,0.1481,8.0,8.0,0.0,1.0,0.0,1.5141,3.0,0.0,0.15,1.0,1.0,113.0,29.0,0.1494,0.0,0,0,0,1,0,360.0,1477.99,65.0,37.35,0.1007,0.8402,0.4061,0.387,0.2026
C-10038,2026-03-13,18.0,99.0,1188.0,31.0,24.0,0.2917,13.0,9.0,0.4444,3.0,3.0,-1.1262,4.0,2.0,0.3,39.0,1.0,11.0,8.0,0.8347,1.0,0,1,0,0,1,120.0,122.65,115.0,14.85,0.8123,0.5085,0.3543,0.0835,0.8606
C-10039,2024-01-11,38.0,99.0,1188.0,2.0,2.0,0.0,5.0,2.0,1.5,2.0,1.0,-0.8669,0.0,0.0,0.0,11.0,0.0,123.0,9.0,0.3855,0.0,0,1,0,0,0,120.0,536.62,90.0,14.85,0.1787,0.5351,0.3058,0.1413,0.495
C-10040,2024-08-19,11.0,399.0,4788.0,0.0,6.0,-1.0,5.0,5.0,0.0,1.0,1.0,0.6099,3.0,1.0,0.2,39.0,0.0,58.0,2.0,0.4824,1.0,0,1,0,0,1,360.0,386.56,65.0,59.85,0.8532,0.3667,0.3186,0.1172,0.6035
C-10041,2024-09-08,45.0,49.0,588.0,10.0,6.0,0.6667,4.0,7.0,-0.4286,5.0,2.0,-0.2731,1.0,0.0,0.05,9.0,0.0,53.0,21.0,0.2494,1.0,0,1,0,0,1,120.0,260.19,165.0,8.0,0.1954,0.6347,0.4013,0.0998,0.8416
C-10042,2026-01-05,42.0,149.0,1788.0,15.0,25.0,-0.4,5.0,3.0,0.6667,0.0,0.0,0.2459,11.0,10.0,1.0,24.0,0.0,79.0,27.0,0.6284,1.0,0,1,1,0,0,120.0,808.36,40.0,22.35,0.178,0.6816,0.6942,0.1952,0.2829
C-10043,2024-01-16,22.0,249.0,2988.0,17.0,15.0,0.1333,0.0,2.0,-1.0,1.0,1.0,-0.0898,1.0,1.0,0.1,16.0,0.0,84.0,9.0,0.3749,0.0,1,1,0,1,0,360.0,1248.18,65.0,37.35,0.2405,0.4476,0.3186,0.3125,0.495
C-10044,2024-04-20,5.0,49.0,588.0,15.0,20.0,-0.25,6.0,2.0,2.0,0.0,0.0,-0.1141,4.0,3.0,0.35,40.0,1.0,161.0,28.0,0.3212,1.0,0,1,0,0,0,120.0,121.34,40.0,8.0,0.6248,0.4769,0.3682,0.0833,0.3775
C-10045,2024-01-03,58.0,99.0,1188.0,15.0,22.0,-0.3182,9.0,9.0,0.0,3.0,0.0,-0.2434,10.0,7.0,0.85,42.0,0.0,81.0,1.0,0.2849,1.0,0,1,0,0,1,120.0,474.09,115.0,14.85,0.2744,0.6394,0.5548,0.1308,0.6479
C-10046,2026-04-20,27.0,149.0,1788.0,18.0,21.0,-0.1429,1.0,8.0,-0.875,2.0,1.0,0.1436,11.0,11.0,1.0,34.0,0.0,56.0,34.0,0.3463,1.0,0,1,1,0,0,120.0,712.66,90.0,22.35,0.2753,0.575,0.6502,0.1746,0.7047
C-10047,2024-01-29,53.0,249.0,2988.0,2.0,3.0,-0.3333,3.0,4.0,-0.25,2.0,1.0,0.5133,4.0,1.0,0.25,38.0,0.0,140.0,27.0,0.4837,1.0,0,1,0,1,1,360.0,887.3,90.0,37.35,0.4601,0.7465,0.3407,0.2135,0.7089
C-10048,2024-08-22,41.0,799.0,9588.0,0.0,4.0,-1.0,10.0,9.0,0.1111,0.0,0.0,1.2915,5.0,3.0,0.4,34.0,0.0,99.0,27.0,0.4346,1.0,1,1,0,1,0,360.0,1923.24,40.0,80.0,0.6353,0.7879,0.4158,0.5439,0.2932
C-10049,2025-04-04,47.0,799.0,9588.0,15.0,11.0,0.3636,7.0,8.0,-0.125,0.0,0.0,-0.162,6.0,4.0,0.5,13.0,0.0,5.0,28.0,0.392,0.0,1,1,0,1,1,360.0,4538.11,40.0,80.0,0.1394,0.8131,0.485,0.9804,0.2042
C-10050,2024-11-03,46.0,99.0,1188.0,7.0,10.0,-0.3,10.0,9.0,0.1111,1.0,0.0,-0.3149,9.0,6.0,0.75,41.0,0.0,115.0,14.0,0.2577,1.0,0,1,1,0,0,120.0,448.02,65.0,14.85,0.3143,0.6863,0.52,0.1266,0.4329
C-10051,2024-03-21,13.0,49.0,588.0,27.0,21.0,0.2857,8.0,11.0,-0.2727,0.0,0.0,-0.418,9.0,9.0,0.9,23.0,1.0,92.0,39.0,0.2462,0.0,0,1,1,0,0,120.0,255.22,40.0,8.0,0.2108,0.6823,0.5939,0.0991,0.2479
C-10052,2024-12-30,23.0,49.0,588.0,7.0,5.0,0.4,6.0,10.0,-0.4,0.0,0.0,1.1758,6.0,3.0,0.45,15.0,0.0,105.0,30.0,0.3078,0.0,1,1,0,0,0,120.0,280.4,40.0,8.0,0.133,0.6396,0.4551,0.1024,0.2227
C-10053,2025-12-05,29.0,249.0,2988.0,7.0,11.0,-0.3636,1.0,2.0,-0.5,0.0,0.0,0.5523,4.0,3.0,0.35,8.0,0.0,37.0,8.0,0.4921,0.0,0,1,1,0,0,360.0,1352.19,40.0,37.35,0.1772,0.5029,0.4502,0.3453,0.2297
C-10054,2024-09-11,30.0,49.0,588.0,2.0,7.0,-0.7143,9.0,9.0,0.0,1.0,0.0,-1.5,4.0,3.0,0.35,31.0,0.0,88.0,36.0,0.5325,0.0,1,1,1,0,1,120.0,152.35,65.0,8.0,0.5289,0.7182,0.3407,0.0868,0.3729
C-10055,2025-03-31,4.0,99.0,1188.0,0.0,6.0,-1.0,4.0,5.0,-0.2,1.0,0.0,-1.5,7.0,6.0,0.65,12.0,0.0,118.0,29.0,0.5594,1.0,1,1,1,0,1,120.0,343.84,65.0,14.85,0.4738,0.4584,0.6225,0.111,0.3015
C-10056,2025-02-18,33.0,799.0,9588.0,7.0,5.0,0.4,8.0,5.0,0.6,0.0,0.0,-0.664,10.0,8.0,0.9,29.0,1.0,123.0,13.0,0.3997,0.0,1,1,0,1,0,360.0,4187.76,40.0,80.0,0.2059,0.6872,0.5646,0.968,0.2829
C-10057,2024-08-04,10.0,799.0,9588.0,4.0,6.0,-0.3333,5.0,8.0,-0.375,0.0,0.0,0.1841,0.0,0.0,0.0,2.0,0.0,124.0,37.0,0.4767,1.0,0,1,0,1,0,360.0,4108.12,40.0,80.0,0.221,0.6899,0.4158,0.9643,0.1694
C-10058,2024-01-03,45.0,799.0,9588.0,2.0,16.0,-0.875,7.0,7.0,0.0,1.0,1.0,-0.0268,9.0,6.0,0.75,28.0,0.0,179.0,10.0,0.3663,1.0,0,0,1,1,1,360.0,2590.56,65.0,80.0,0.5087,0.6694,0.5842,0.7557,0.4975
C-10059,2026-01-09,41.0,99.0,1188.0,9.0,12.0,-0.25,5.0,5.0,0.0,1.0,1.0,0.4118,5.0,5.0,0.5,28.0,0.0,92.0,26.0,0.0515,1.0,0,1,1,0,0,120.0,451.53,65.0,14.85,0.309,0.656,0.485,0.1272,0.5225
C-10060,2026-05-26,55.0,249.0,2988.0,7.0,12.0,-0.4167,7.0,11.0,-0.3636,1.0,0.0,-0.1404,1.0,0.0,0.05,23.0,0.0,80.0,27.0,0.3568,0.0,1,0,0,0,0,360.0,1163.29,65.0,37.35,0.2921,0.8211,0.2729,0.2871,0.3407
C-10061,2025-03-25,45.0,249.0,2988.0,22.0,13.0,0.6923,0.0,2.0,-1.0,2.0,2.0,1.1179,1.0,0.0,0.05,29.0,0.0,99.0,38.0,0.3249,0.0,1,1,0,0,1,360.0,1028.73,90.0,37.35,0.374,0.7413,0.2497,0.2494,0.7807
C-10062,2026-01-02,23.0,99.0,1188.0,11.0,21.0,-0.4762,2.0,2.0,0.0,0.0,0.0,0.6177,4.0,2.0,0.3,44.0,1.0,62.0,23.0,0.1922,1.0,1,1,1,0,0,120.0,192.63,40.0,14.85,0.7052,0.4396,0.3318,0.0914,0.4551
C-10063,2024-11-05,58.0,249.0,2988.0,15.0,24.0,-0.375,5.0,1.0,4.0,1.0,0.0,0.0621,2.0,0.0,0.1,37.0,0.0,60.0,39.0,0.2865,0.0,1,1,1,0,1,360.0,991.76,65.0,37.35,0.3965,0.8496,0.2351,0.2396,0.4651
C-10064,2026-04-11,25.0,249.0,2988.0,22.0,15.0,0.4667,10.0,9.0,0.1111,0.0,0.0,0.9163,1.0,0.0,0.05,19.0,0.0,125.0,12.0,0.427,1.0,0,1,0,0,1,360.0,1309.08,40.0,37.35,0.2034,0.681,0.3543,0.3315,0.2092
C-10065,2025-05-15,20.0,149.0,1788.0,26.0,18.0,0.4444,0.0,5.0,-1.0,1.0,0.0,-1.3191,3.0,0.0,0.15,39.0,0.0,59.0,32.0,0.1734,1.0,0,0,1,1,1,120.0,607.49,65.0,22.35,0.3823,0.4922,0.3015,0.154,0.5424
C-10066,2025-12-06,54.0,399.0,4788.0,16.0,20.0,-0.2,0.0,5.0,-1.0,3.0,3.0,-0.0681,10.0,10.0,1.0,42.0,0.0,136.0,10.0,0.2578,1.0,0,1,0,1,1,360.0,1454.45,115.0,59.85,0.4477,0.5881,0.613,0.379,0.9282
C-10067,2025-08-16,23.0,399.0,4788.0,15.0,19.0,-0.2105,9.0,8.0,0.125,2.0,1.0,0.11,8.0,7.0,0.75,7.0,0.0,135.0,39.0,0.7096,0.0,0,1,0,1,0,360.0,2252.11,90.0,59.85,0.1448,0.8142,0.613,0.6561,0.4158
C-10068,2026-03-25,6.0,249.0,2988.0,8.0,4.0,1.0,4.0,5.0,-0.2,3.0,2.0,0.4816,2.0,0.0,0.1,16.0,1.0,171.0,30.0,0.0795,1.0,1,0,0,0,0,360.0,866.85,115.0,37.35,0.4725,0.5754,0.387,0.2087,0.7465
C-10069,2025-05-07,29.0,399.0,4788.0,13.0,27.0,-0.5185,9.0,7.0,0.2857,0.0,0.0,-1.3721,8.0,7.0,0.75,33.0,0.0,28.0,25.0,0.3634,1.0,0,1,0,1,0,360.0,1278.31,40.0,59.85,0.5146,0.7296,0.5597,0.3219,0.2973
C-10070,2026-01-17,48.0,399.0,4788.0,0.0,5.0,-1.0,0.0,1.0,-1.0,2.0,1.0,-0.2083,5.0,2.0,0.35,23.0,1.0,68.0,3.0,0.1667,1.0,0,1,0,1,1,360.0,816.42,90.0,59.85,0.69,0.4763,0.4502,0.197,0.6434
C-10071,2026-04-02,12.0,249.0,2988.0,10.0,12.0,-0.1667,2.0,2.0,0.0,0.0,0.0,0.3204,8.0,6.0,0.7,6.0,0.0,140.0,20.0,0.2497,0.0,0,0,1,0,0,360.0,1454.3,40.0,37.35,0.1151,0.5356,0.5987,0.379,0.2108
C-10072,2025-11-01,28.0,99.0,1188.0,27.0,18.0,0.5,13.0,11.0,0.1818,1.0,1.0,0.3817,2.0,0.0,0.1,21.0,0.0,80.0,6.0,0.3605,0.0,1,0,0,0,0,120.0,479.59,65.0,14.85,0.266,0.6099,0.2973,0.1317,0.3729
C-10073,2024-11-08,9.0,399.0,4788.0,8.0,11.0,-0.2727,3.0,5.0,-0.4,1.0,0.0,0.9489,0.0,0.0,0.0,16.0,1.0,119.0,36.0,0.2025,1.0,0,1,0,0,0,360.0,1496.03,65.0,59.85,0.4319,0.6187,0.3498,0.3931,0.3385
C-10074,2024-03-21,41.0,399.0,4788.0,8.0,7.0,0.1429,0.0,2.0,-1.0,0.0,0.0,0.6092,3.0,2.0,0.25,33.0,0.0,133.0,15.0,0.5148,0.0,1,0,0,1,1,360.0,2002.5,40.0,59.85,0.2396,0.5867,0.2973,0.5718,0.3989
C-10075,2024-12-27,29.0,799.0,9588.0,32.0,25.0,0.28,5.0,5.0,0.0,0.0,0.0,-0.0487,11.0,9.0,1.0,23.0,0.0,159.0,33.0,0.6702,0.0,0,1,1,1,0,360.0,4698.09,40.0,80.0,0.1091,0.7531,0.6318,0.9843,0.2769
C-10076,2025-09-02,21.0,49.0,588.0,15.0,2.0,6.5,5.0,4.0,0.25,0.0,0.0,0.54,6.0,5.0,0.55,6.0,1.0,44.0,36.0,0.5683,0.0,0,0,1,0,0,120.0,280.96,40.0,8.0,0.1312,0.6535,0.5399,0.1025,0.1869
C-10077,2026-01-27,15.0,149.0,1788.0,4.0,7.0,-0.4286,3.0,4.0,-0.25,1.0,0.0,-0.1611,0.0,0.0,0.0,2.0,1.0,50.0,5.0,0.6049,1.0,0,0,1,0,0,120.0,660.05,65.0,22.35,0.3288,0.3375,0.4158,0.164,0.2516
C-10078,2025-11-09,34.0,799.0,9588.0,27.0,27.0,0.0,6.0,4.0,0.5,3.0,2.0,0.1174,11.0,11.0,1.0,12.0,0.0,87.0,30.0,0.1241,0.0,0,1,1,1,1,360.0,4627.99,115.0,80.0,0.1224,0.7683,0.6814,0.9827,0.7027
C-10079,2025-07-16,40.0,249.0,2988.0,31.0,20.0,0.55,7.0,9.0,-0.2222,1.0,1.0,0.6358,9.0,9.0,0.9,7.0,0.0,93.0,12.0,0.3514,0.0,1,1,1,0,0,360.0,1523.82,65.0,37.35,0.0728,0.7076,0.6682,0.4026,0.3452
C-10080,2025-04-18,56.0,799.0,9588.0,0.0,3.0,-1.0,0.0,2.0,-1.0,3.0,1.0,-0.0362,6.0,5.0,0.55,39.0,0.0,163.0,5.0,0.4935,1.0,1,1,1,1,1,360.0,1668.92,115.0,80.0,0.6835,0.532,0.4502,0.4533,0.8131
C-10081,2026-05-02,27.0,49.0,588.0,27.0,21.0,0.2857,8.0,4.0,1.0,1.0,0.0,0.2896,8.0,7.0,0.75,12.0,2.0,11.0,11.0,0.5742,0.0,1,1,1,1,1,120.0,229.26,65.0,8.0,0.2911,0.541,0.589,0.0959,0.2611
C-10082,2024-08-03,11.0,49.0,588.0,21.0,27.0,-0.2222,4.0,6.0,-0.3333,0.0,0.0,0.769,2.0,0.0,0.1,28.0,0.0,47.0,22.0,0.7507,0.0,0,0,1,0,0,120.0,193.23,40.0,8.0,0.4025,0.4499,0.2689,0.0915,0.3186
C-10083,2025-11-29,50.0,399.0,4788.0,4.0,3.0,0.3333,4.0,6.0,-0.3333,1.0,0.0,0.5697,7.0,4.0,0.55,5.0,0.0,164.0,34.0,0.6138,0.0,0,0,1,1,0,360.0,2485.26,65.0,59.85,0.0563,0.8193,0.5449,0.7269,0.2592
C-10084,2025-05-01,38.0,149.0,1788.0,11.0,12.0,-0.0833,9.0,10.0,-0.1,2.0,0.0,0.9868,10.0,9.0,0.95,19.0,0.0,112.0,27.0,0.5793,0.0,1,1,1,0,1,120.0,887.06,90.0,22.35,0.098,0.739,0.6318,0.2135,0.3823
C-10085,2025-03-28,42.0,249.0,2988.0,7.0,13.0,-0.4615,11.0,11.0,0.0,0.0,0.0,1.8628,5.0,3.0,0.4,42.0,0.0,123.0,10.0,0.9267,1.0,1,1,0,0,0,360.0,850.13,40.0,37.35,0.4827,0.7268,0.3775,0.2047,0.334
C-10086,2024-12-18,7.0,149.0,1788.0,0.0,4.0,-1.0,3.0,4.0,-0.25,2.0,1.0,0.5623,0.0,0.0,0.0,28.0,0.0,48.0,12.0,0.4193,0.0,1,0,0,0,0,120.0,178.67,90.0,22.35,0.8183,0.2954,0.2387,0.0898,0.6434
C-10087,2025-07-13,20.0,149.0,1788.0,8.0,6.0,0.3333,5.0,6.0,-0.1667,1.0,0.0,-0.369,9.0,7.0,0.8,12.0,0.0,114.0,12.0,0.3422,1.0,0,1,1,1,0,120.0,892.15,65.0,22.35,0.0928,0.4784,0.677,0.2147,0.2911
C-10088,2026-05-31,46.0,799.0,9588.0,11.0,5.0,1.2,0.0,1.0,-1.0,1.0,0.0,0.4095,8.0,6.0,0.7,33.0,0.0,69.0,29.0,0.4355,0.0,0,1,0,1,0,360.0,4413.06,65.0,80.0,0.1631,0.7127,0.4651,0.9766,0.4975
