external_id,created_at,company_size,industry,country,job_title,lead_source,website_visits,pricing_page_visits,demo_request,email_opens,email_clicks,sales_calls,days_since_contact,number_of_employees,previous_interactions,campaign_engagement,deal_amount,historical_call,converted,true_p0_converted
L-20016,2025-02-24,25.0,4.0,6.0,1.0,0.0,6.0,0.0,0.0,3.0,1.0,4.0,30.0,25.0,11.0,0.2422,15000.0,0.0,0,0.2355
L-20017,2025-05-18,80.0,5.0,7.0,1.0,4.0,4.0,2.0,0.0,1.0,0.0,3.0,24.0,80.0,0.0,0.3342,4000.0,0.0,0,0.3299
L-20018,2024-06-16,200.0,5.0,2.0,3.0,4.0,24.0,3.0,0.0,1.0,0.0,0.0,17.0,200.0,7.0,0.6451,28000.0,1.0,0,0.7331
L-20019,2025-08-27,80.0,4.0,3.0,0.0,1.0,1.0,6.0,0.0,13.0,13.0,4.0,15.0,80.0,2.0,0.5098,8000.0,1.0,1,0.9364
L-20020,2025-08-10,8.0,5.0,1.0,3.0,1.0,13.0,2.0,0.0,12.0,8.0,3.0,35.0,8.0,0.0,0.5792,8000.0,1.0,1,0.6882
L-20021,2026-01-01,2000.0,0.0,2.0,2.0,2.0,11.0,2.0,1.0,12.0,9.0,5.0,20.0,2000.0,9.0,0.4771,15000.0,1.0,1,0.9602
L-20022,2024-08-11,80.0,1.0,7.0,4.0,4.0,6.0,1.0,1.0,1.0,0.0,2.0,10.0,80.0,10.0,0.5423,28000.0,1.0,1,0.7024
L-20023,2026-02-07,2000.0,0.0,1.0,0.0,0.0,19.0,2.0,0.0,8.0,7.0,2.0,0.0,2000.0,1.0,0.3681,60000.0,1.0,1,0.8738
L-20024,2024-06-18,25.0,3.0,4.0,3.0,0.0,1.0,3.0,0.0,7.0,7.0,1.0,22.0,25.0,11.0,0.4693,28000.0,0.0,1,0.4717
L-20025,2026-03-18,25.0,1.0,0.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,13.0,25.0,1.0,0.2687,15000.0,0.0,0,0.4295
L-20026,2026-02-10,600.0,2.0,3.0,3.0,4.0,11.0,4.0,0.0,12.0,12.0,2.0,36.0,600.0,6.0,0.7162,4000.0,1.0,1,0.8568
L-20027,2024-11-19,25.0,2.0,6.0,0.0,1.0,12.0,7.0,1.0,7.0,5.0,2.0,8.0,25.0,10.0,0.6196,28000.0,1.0,1,0.9842
L-20028,2025-05-01,2000.0,1.0,0.0,2.0,3.0,14.0,7.0,0.0,0.0,0.0,5.0,30.0,2000.0,6.0,0.2497,4000.0,0.0,1,0.8992
L-20029,2025-07-23,80.0,4.0,7.0,1.0,4.0,0.0,1.0,1.0,10.0,10.0,1.0,33.0,80.0,8.0,0.5992,60000.0,1.0,1,0.6659
L-20030,2025-07-03,80.0,4.0,7.0,1.0,3.0,20.0,1.0,0.0,4.0,4.0,5.0,3.0,80.0,10.0,0.3022,8000.0,1.0,1,0.8585
L-20031,2025-02-12,8.0,5.0,3.0,1.0,1.0,17.0,1.0,0.0,8.0,8.0,2.0,12.0,8.0,9.0,0.4359,60000.0,1.0,1,0.7451
L-20032,2026-04-28,80.0,1.0,7.0,0.0,4.0,29.0,1.0,0.0,9.0,9.0,0.0,4.0,80.0,2.0,0.3419,4000.0,1.0,1,0.8674
L-20033,2025-02-25,25.0,3.0,7.0,3.0,0.0,2.0,7.0,0.0,9.0,9.0,5.0,0.0,25.0,3.0,0.2532,28000.0,1.0,1,0.9557
L-20034,2026-02-05,200.0,4.0,6.0,2.0,1.0,7.0,2.0,0.0,10.0,9.0,1.0,21.0,200.0,6.0,0.4822,60000.0,1.0,1,0.5899
L-20035,2026-05-22,2000.0,5.0,5.0,3.0,0.0,22.0,1.0,0.0,6.0,5.0,3.0,15.0,2000.0,10.0,0.485,15000.0,1.0,1,0.816
L-20036,2025-01-27,8.0,1.0,4.0,4.0,0.0,23.0,0.0,0.0,7.0,3.0,4.0,36.0,8.0,3.0,0.4758,60000.0,0.0,1,0.6031
L-20037,2025-05-26,2000.0,4.0,5.0,2.0,2.0,21.0,0.0,0.0,5.0,2.0,1.0,1.0,2000.0,2.0,0.8459,8000.0,0.0,1,0.72
L-20038,2026-03-09,80.0,4.0,1.0,4.0,2.0,23.0,2.0,0.0,12.0,12.0,3.0,1.0,80.0,8.0,0.3385,4000.0,1.0,1,0.95
L-20039,2026-01-05,200.0,2.0,3.0,1.0,1.0,11.0,4.0,0.0,10.0,7.0,4.0,23.0,200.0,1.0,0.742,60000.0,0.0,1,0.8877
L-20040,2024-12-03,80.0,4.0,0.0,2.0,3.0,28.0,3.0,0.0,5.0,3.0,3.0,32.0,80.0,2.0,0.2025,8000.0,1.0,1,0.8268
L-20041,2024-06-02,80.0,0.0,6.0,1.0,2.0,14.0,2.0,0.0,7.0,3.0,5.0,25.0,80.0,1.0,0.1461,60000.0,1.0,1,0.6796
L-20042,2025-11-01,600.0,2.0,6.0,2.0,3.0,26.0,7.0,0.0,10.0,6.0,0.0,37.0,600.0,10.0,0.2117,4000.0,0.0,0,0.9118
L-20043,2025-03-02,2000.0,5.0,1.0,3.0,1.0,23.0,4.0,0.0,7.0,5.0,5.0,7.0,2000.0,2.0,0.0176,28000.0,1.0,1,0.9497
L-20044,2025-03-04,2000.0,5.0,0.0,0.0,4.0,15.0,6.0,0.0,8.0,7.0,0.0,13.0,2000.0,3.0,0.1339,28000.0,1.0,1,0.8714
L-20045,2025-06-05,200.0,4.0,5.0,2.0,4.0,13.0,7.0,0.0,3.0,0.0,4.0,23.0,200.0,5.0,0.5081,8000.0,1.0,1,0.9026
L-20046,2025-02-25,600.0,4.0,4.0,0.0,3.0,2.0,6.0,0.0,13.0,9.0,0.0,38.0,600.0,6.0,0.2983,15000.0,1.0,1,0.6162
L-20047,2024-11-11,2000.0,1.0,0.0,1.0,3.0,9.0,0.0,0.0,13.0,13.0,0.0,5.0,2000.0,4.0,0.2078,15000.0,1.0,0,0.5891
L-20048,2025-06-15,2000.0,2.0,6.0,3.0,3.0,6.0,3.0,0.0,10.0,9.0,5.0,14.0,2000.0,0.0,0.0698,4000.0,1.0,1,0.8244
L-20049,2025-11-16,2000.0,1.0,2.0,1.0,2.0,17.0,4.0,0.0,0.0,0.0,3.0,35.0,2000.0,4.0,0.2514,28000.0,1.0,1,0.6747
L-20050,2025-11-09,8.0,4.0,2.0,0.0,3.0,6.0,5.0,0.0,2.0,1.0,2.0,14.0,8.0,1.0,0.0698,15000.0,0.0,0,0.5898
L-20051,2025-12-29,8.0,2.0,1.0,0.0,3.0,5.0,4.0,0.0,13.0,10.0,0.0,35.0,8.0,2.0,0.5915,8000.0,1.0,0,0.5873
L-20052,2024-08-26,200.0,3.0,3.0,4.0,3.0,26.0,2.0,1.0,0.0,0.0,4.0,13.0,200.0,9.0,0.0956,28000.0,1.0,1,0.9451
L-20053,2026-03-26,8.0,1.0,7.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,3.0,25.0,8.0,6.0,0.4967,28000.0,1.0,1,0.3224
L-20054,2025-12-31,2000.0,1.0,1.0,3.0,4.0,0.0,4.0,0.0,5.0,5.0,3.0,20.0,2000.0,1.0,0.4244,4000.0,1.0,1,0.64
L-20055,2025-10-16,600.0,2.0,6.0,1.0,3.0,16.0,0.0,1.0,1.0,1.0,4.0,19.0,600.0,0.0,0.1691,15000.0,0.0,1,0.8001
L-20056,2024-07-22,8.0,4.0,7.0,3.0,4.0,3.0,3.0,0.0,9.0,6.0,1.0,20.0,8.0,6.0,0.1512,15000.0,0.0,0,0.4174
L-20057,2025-10-27,8.0,4.0,4.0,2.0,2.0,12.0,3.0,1.0,0.0,0.0,2.0,19.0,8.0,6.0,0.5629,4000.0,1.0,1,0.8477
L-20058,2025-07-23,8.0,0.0,4.0,0.0,1.0,29.0,7.0,0.0,3.0,0.0,2.0,10.0,8.0,7.0,0.3619,28000.0,1.0,1,0.9595
L-20059,2024-08-16,80.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,8.0,6.0,3.0,25.0,80.0,1.0,0.1838,28000.0,0.0,0,0.2361
L-20060,2026-03-23,2000.0,2.0,2.0,1.0,4.0,6.0,3.0,0.0,10.0,6.0,3.0,20.0,2000.0,2.0,0.8112,8000.0,1.0,1,0.7638
L-20061,2026-03-06,25.0,1.0,7.0,4.0,1.0,6.0,0.0,1.0,1.0,0.0,5.0,35.0,25.0,4.0,0.403,4000.0,1.0,0,0.5859
L-20062,2026-02-12,600.0,5.0,0.0,2.0,2.0,14.0,0.0,1.0,13.0,11.0,0.0,6.0,600.0,0.0,0.4809,8000.0,1.0,1,0.8907
L-20063,2025-10-28,200.0,0.0,0.0,3.0,1.0,15.0,2.0,0.0,8.0,5.0,2.0,13.0,200.0,4.0,0.5965,8000.0,1.0,0,0.7533
L-20064,2025-08-01,200.0,5.0,3.0,1.0,2.0,4.0,7.0,1.0,1.0,0.0,4.0,18.0,200.0,4.0,0.6276,28000.0,1.0,1,0.9595
L-20065,2025-11-28,8.0,3.0,3.0,2.0,0.0,26.0,6.0,0.0,3.0,1.0,4.0,28.0,8.0,8.0,0.7636,15000.0,1.0,1,0.9534
L-20066,2025-01-29,600.0,1.0,0.0,3.0,4.0,8.0,2.0,0.0,4.0,4.0,1.0,14.0,600.0,8.0,0.8054,15000.0,1.0,1,0.5938
L-20067,2024-09-27,80.0,1.0,7.0,0.0,2.0,25.0,6.0,0.0,3.0,1.0,0.0,25.0,80.0,0.0,0.4336,15000.0,1.0,1,0.8583
L-20068,2024-08-02,8.0,2.0,6.0,2.0,2.0,29.0,4.0,0.0,8.0,4.0,4.0,18.0,8.0,5.0,0.0569,60000.0,1.0,1,0.9297
L-20069,2024-06-10,200.0,0.0,7.0,3.0,1.0,9.0,2.0,0.0,11.0,10.0,4.0,17.0,200.0,8.0,0.3446,8000.0,0.0,1,0.8006
L-20070,2026-01-22,200.0,1.0,7.0,4.0,4.0,10.0,6.0,1.0,0.0,0.0,1.0,18.0,200.0,10.0,0.4402,28000.0,1.0,1,0.915
L-20071,2026-05-15,8.0,1.0,2.0,0.0,0.0,5.0,7.0,0.0,4.0,0.0,1.0,2.0,8.0,11.0,0.2394,28000.0,1.0,1,0.7551
L-20072,2025-08-29,200.0,5.0,7.0,0.0,4.0,16.0,3.0,1.0,10.0,7.0,3.0,27.0,200.0,5.0,0.4349,8000.0,1.0,1,0.9464
L-20073,2024-09-19,80.0,1.0,5.0,0.0,3.0,18.0,2.0,0.0,2.0,0.0,0.0,15.0,80.0,11.0,0.5952,28000.0,0.0,1,0.5415
L-20074,2026-04-04,600.0,1.0,4.0,2.0,3.0,16.0,3.0,1.0,1.0,0.0,3.0,32.0,600.0,4.0,0.7277,4000.0,1.0,1,0.8984
L-20075,2025-07-19,200.0,4.0,5.0,1.0,1.0,28.0,6.0,0.0,12.0,9.0,0.0,21.0,200.0,3.0,0.2591,15000.0,1.0,1,0.9523
L-20076,2024-10-18,8.0,0.0,4.0,4.0,3.0,22.0,2.0,1.0,4.0,0.0,3.0,18.0,8.0,3.0,0.6,28000.0,1.0,1,0.9228
L-20077,2025-08-18,25.0,2.0,4.0,3.0,2.0,1.0,5.0,0.0,6.0,3.0,0.0,38.0,25.0,10.0,0.2843,8000.0,0.0,0,0.3122
L-20078,2026-04-07,200.0,2.0,6.0,0.0,0.0,13.0,1.0,0.0,6.0,6.0,2.0,20.0,200.0,2.0,0.3012,4000.0,1.0,0,0.5624
L-20079,2025-04-08,80.0,1.0,3.0,3.0,1.0,6.0,5.0,1.0,7.0,7.0,3.0,17.0,80.0,10.0,0.283,15000.0,1.0,1,0.9481
L-20080,2025-09-04,25.0,5.0,7.0,1.0,0.0,22.0,5.0,0.0,0.0,0.0,2.0,2.0,25.0,4.0,0.6461,28000.0,1.0,1,0.9195
L-20081,2024-11-30,80.0,5.0,1.0,2.0,1.0,7.0,3.0,0.0,11.0,11.0,3.0,35.0,80.0,8.0,0.4528,60000.0,1.0,1,0.7267
L-20082,2025-09-29,25.0,2.0,0.0,3.0,3.0,2.0,0.0,0.0,7.0,5.0,5.0,34.0,25.0,6.0,0.515,8000.0,1.0,1,0.3447
L-20083,2025-08-07,8.0,4.0,5.0,1.0,4.0,28.0,4.0,1.0,2.0,2.0,0.0,36.0,8.0,0.0,0.2807,8000.0,1.0,1,0.9108
L-20084,2025-12-24,600.0,1.0,7.0,0.0,0.0,11.0,4.0,0.0,3.0,2.0,0.0,16.0,600.0,4.0,0.2609,28000.0,1.0,1,0.5694
L-20085,2025-04-01,200.0,3.0,4.0,3.0,4.0,23.0,1.0,0.0,8.0,6.0,5.0,16.0,200.0,3.0,0.8667,60000.0,1.0,1,0.9191
L-20086,2024-12-09,200.0,1.0,5.0,0.0,4.0,15.0,0.0,0.0,8.0,7.0,1.0,23.0,200.0,3.0,0.4583,60000.0,0.0,0,0.4955
L-20087,2025-10-22,8.0,4.0,0.0,1.0,1.0,23.0,0.0,0.0,4.0,1.0,1.0,5.0,8.0,0.0,0.5932,4000.0,1.0,1,0.614
L-20088,2026-03-22,600.0,0.0,5.0,2.0,3.0,15.0,7.0,0.0,13.0,9.0,5.0,3.0,600.0,9.0,0.6159,28000.0,1.0,1,0.9884
L-20089,2024-11-08,200.0,5.0,5.0,2.0,4.0,13.0,2.0,0.0,4.0,1.0,4.0,39.0,200.0,5.0,0.3307,60000.0,1.0,1,0.4893
L-20090,2025-10-05,600.0,1.0,4.0,3.0,4.0,28.0,1.0,0.0,12.0,12.0,5.0,14.0,600.0,9.0,0.3422,8000.0,1.0,1,0.9598
L-20091,2025-03-23,8.0,1.0,1.0,4.0,3.0,16.0,6.0,0.0,11.0,10.0,2.0,33.0,8.0,1.0,0.0805,28000.0,1.0,1,0.8842
L-20092,2025-07-16,25.0,4.0,6.0,1.0,3.0,24.0,4.0,0.0,2.0,2.0,5.0,36.0,25.0,0.0,0.2194,28000.0,1.0,1,0.862
L-20093,2025-02-26,200.0,4.0,3.0,1.0,0.0,0.0,7.0,0.0,5.0,5.0,1.0,15.0,200.0,5.0,0.3284,4000.0,1.0,0,0.7531
L-20094,2024-10-11,8.0,2.0,3.0,4.0,1.0,13.0,1.0,1.0,12.0,10.0,4.0,7.0,8.0,3.0,0.832,28000.0,1.0,1,0.9677
L-20095,2024-06-03,2000.0,3.0,1.0,2.0,1.0,14.0,2.0,0.0,8.0,5.0,4.0,5.0,2000.0,8.0,0.2732,28000.0,0.0,1,0.8262
L-20096,2024-06-24,25.0,3.0,2.0,0.0,4.0,10.0,2.0,0.0,7.0,4.0,2.0,33.0,25.0,10.0,0.2389,28000.0,1.0,1,0.4035
L-20097,2025-03-31,25.0,0.0,6.0,2.0,4.0,26.0,6.0,0.0,12.0,12.0,5.0,15.0,25.0,1.0,0.39,8000.0,1.0,1,0.9908
L-20098,2025-07-12,80.0,0.0,0.0,2.0,0.0,4.0,6.0,1.0,11.0,10.0,5.0,6.0,80.0,4.0,0.2695,8000.0,1.0,1,0.9863
L-20099,2024-09-22,8.0,0.0,2.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,18.0,8.0,3.0,0.1581,4000.0,0.0,1,0.3481
L-20100,2024-12-05,25.0,0.0,7.0,2.0,3.0,25.0,6.0,0.0,1.0,0.0,5.0,20.0,25.0,1.0,0.6037,28000.0,1.0,1,0.9607
L-20101,2025-09-18,25.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,7.0,6.0,2.0,28.0,25.0,1.0,0.3687,15000.0,0.0,1,0.5905
L-20102,2025-02-27,25.0,1.0,0.0,4.0,0.0,14.0,3.0,0.0,8.0,6.0,3.0,4.0,25.0,1.0,0.4199,60000.0,1.0,1,0.8584
L-20103,2025-08-25,80.0,1.0,1.0,0.0,4.0,9.0,2.0,0.0,2.0,0.0,2.0,36.0,80.0,5.0,0.2751,60000.0,0.0,0,0.2745
L-20104,2025-09-19,200.0,5.0,7.0,4.0,3.0,19.0,2.0,1.0,8.0,8.0,3.0,17.0,200.0,10.0,0.5407,4000.0,0.0,1,0.9636
L-20105,2025-05-01,200.0,5.0,3.0,1.0,2.0,21.0,3.0,0.0,8.0,8.0,3.0,12.0,200.0,6.0,0.512,15000.0,1.0,1,0.9249
L-20106,2025-10-16,2000.0,1.0,4.0,2.0,0.0,25.0,6.0,0.0,4.0,3.0,5.0,27.0,2000.0,9.0,0.825,15000.0,1.0,1,0.9755
L-20107,2025-07-29,8.0,4.0,1.0,3.0,4.0,28.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.2052,15000.0,1.0,1,0.7037
L-20108,2025-10-15,200.0,3.0,0.0,4.0,3.0,6.0,5.0,0.0,4.0,1.0,0.0,9.0,200.0,2.0,0.4133,60000.0,1.0,1,0.6039
L-20109,2025-10-28,8.0,5.0,5.0,4.0,4.0,14.0,5.0,0.0,8.0,7.0,0.0,30.0,8.0,4.0,0.8135,8000.0,1.0,1,0.8042
L-20110,2024-10-09,8.0,3.0,7.0,4.0,4.0,24.0,2.0,0.0,5.0,2.0,1.0,21.0,8.0,7.0,0.2414,15000.0,0.0,1,0.6382
L-20111,2025-08-12,2000.0,3.0,3.0,1.0,4.0,6.0,7.0,0.0,4.0,2.0,5.0,1.0,2000.0,11.0,0.3652,8000.0,1.0,0,0.9406
L-20112,2025-02-20,80.0,5.0,5.0,2.0,0.0,2.0,6.0,1.0,9.0,9.0,4.0,16.0,80.0,2.0,0.5989,8000.0,1.0,1,0.9768
L-20113,2025-11-27,80.0,5.0,4.0,2.0,2.0,22.0,4.0,1.0,7.0,6.0,5.0,2.0,80.0,8.0,0.5255,60000.0,1.0,1,0.9925
L-20114,2025-01-28,2000.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,9.0,9.0,3.0,33.0,2000.0,10.0,0.6709,8000.0,0.0,1,0.5516
L-20115,2026-02-07,200.0,0.0,7.0,2.0,2.0,9.0,4.0,0.0,7.0,6.0,2.0,13.0,200.0,10.0,0.3883,4000.0,0.0,1,0.7806
L-20116,2026-05-16,600.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,36.0,600.0,0.0,0.7207,15000.0,0.0,1,0.3713
L-20117,2025-07-29,600.0,4.0,5.0,2.0,1.0,5.0,1.0,0.0,4.0,1.0,4.0,13.0,600.0,10.0,0.374,4000.0,0.0,1,0.4555
L-20118,2025-08-17,200.0,3.0,4.0,1.0,1.0,10.0,5.0,0.0,12.0,11.0,3.0,17.0,200.0,0.0,0.3828,28000.0,1.0,1,0.9187
L-20119,2025-11-12,600.0,2.0,4.0,1.0,3.0,0.0,6.0,0.0,12.0,8.0,4.0,22.0,600.0,10.0,0.123,15000.0,1.0,1,0.8199
L-20120,2024-09-07,8.0,5.0,2.0,0.0,1.0,0.0,5.0,0.0,2.0,2.0,4.0,4.0,8.0,3.0,0.3749,8000.0,1.0,1,0.7461
L-20121,2024-08-20,2000.0,2.0,6.0,0.0,3.0,12.0,1.0,0.0,8.0,8.0,3.0,7.0,2000.0,2.0,0.6129,8000.0,1.0,1,0.803
L-20122,2025-07-24,80.0,4.0,5.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,80.0,7.0,0.1118,15000.0,0.0,0,0.4185
L-20123,2025-01-25,25.0,3.0,0.0,1.0,1.0,7.0,5.0,0.0,11.0,7.0,5.0,26.0,25.0,7.0,0.5044,60000.0,0.0,1,0.8785
L-20124,2026-03-04,8.0,4.0,3.0,2.0,4.0,14.0,4.0,0.0,8.0,5.0,5.0,23.0,8.0,11.0,0.3566,4000.0,1.0,1,0.8666
L-20125,2024-11-06,25.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,7.0,2.0,32.0,25.0,8.0,0.0965,15000.0,1.0,0,0.1752
L-20126,2026-05-30,8.0,1.0,3.0,3.0,4.0,6.0,6.0,0.0,3.0,0.0,4.0,6.0,8.0,5.0,0.3819,15000.0,1.0,1,0.834
L-20127,2024-12-02,8.0,0.0,7.0,1.0,3.0,28.0,7.0,0.0,3.0,3.0,4.0,32.0,8.0,0.0,0.3897,15000.0,1.0,1,0.9648
L-20128,2026-01-11,25.0,4.0,3.0,0.0,3.0,13.0,5.0,0.0,13.0,10.0,0.0,8.0,25.0,9.0,0.3461,8000.0,0.0,0,0.8772
L-20129,2026-04-24,80.0,2.0,2.0,2.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,34.0,80.0,5.0,0.2704,15000.0,0.0,1,0.2562
L-20130,2026-03-28,2000.0,1.0,3.0,4.0,3.0,2.0,6.0,0.0,2.0,0.0,5.0,11.0,2000.0,4.0,0.1799,28000.0,1.0,1,0.7998
L-20131,2026-01-10,200.0,4.0,2.0,1.0,2.0,28.0,0.0,0.0,11.0,11.0,4.0,19.0,200.0,0.0,0.6831,28000.0,1.0,1,0.9292
L-20132,2025-11-17,600.0,1.0,4.0,4.0,4.0,28.0,7.0,1.0,4.0,3.0,0.0,33.0,600.0,1.0,0.2025,60000.0,1.0,1,0.9746
L-20133,2024-12-07,200.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,5.0,21.0,200.0,0.0,0.1331,8000.0,0.0,0,0.394
L-20134,2025-02-22,600.0,1.0,2.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,5.0,34.0,600.0,2.0,0.4062,28000.0,1.0,1,0.9213
L-20135,2025-07-11,2000.0,0.0,1.0,0.0,2.0,13.0,7.0,1.0,6.0,4.0,3.0,7.0,2000.0,4.0,0.7085,4000.0,1.0,1,0.99
L-20136,2024-07-14,2000.0,5.0,2.0,3.0,4.0,28.0,6.0,0.0,12.0,8.0,0.0,13.0,2000.0,4.0,0.2276,4000.0,1.0,1,0.9592
L-20137,2025-02-06,600.0,4.0,0.0,1.0,2.0,2.0,6.0,1.0,10.0,8.0,2.0,12.0,600.0,9.0,0.8418,4000.0,1.0,1,0.9713
L-20138,2025-01-28,600.0,3.0,6.0,3.0,2.0,5.0,3.0,0.0,7.0,7.0,1.0,11.0,600.0,6.0,0.3105,60000.0,0.0,1,0.6211
L-20139,2025-09-24,80.0,1.0,6.0,0.0,2.0,15.0,6.0,0.0,9.0,5.0,3.0,13.0,80.0,3.0,0.2934,15000.0,1.0,1,0.9216
L-20140,2024-07-22,25.0,5.0,2.0,1.0,0.0,5.0,5.0,0.0,2.0,0.0,5.0,3.0,25.0,1.0,0.2881,15000.0,1.0,1,0.8136
L-20141,2025-03-24,8.0,1.0,4.0,1.0,2.0,13.0,5.0,0.0,13.0,11.0,2.0,36.0,8.0,4.0,0.7431,4000.0,1.0,1,0.8879
L-20142,2024-07-14,2000.0,5.0,0.0,1.0,4.0,11.0,3.0,0.0,4.0,1.0,1.0,35.0,2000.0,4.0,0.1691,60000.0,1.0,1,0.3648
L-20143,2025-08-01,200.0,1.0,7.0,0.0,1.0,12.0,2.0,0.0,6.0,3.0,5.0,15.0,200.0,2.0,0.633,15000.0,1.0,1,0.7957
L-20144,2025-11-29,600.0,0.0,0.0,1.0,0.0,10.0,4.0,0.0,2.0,1.0,3.0,14.0,600.0,4.0,0.1855,4000.0,1.0,1,0.6946
L-20145,2024-11-18,2000.0,5.0,3.0,2.0,0.0,5.0,2.0,0.0,10.0,9.0,0.0,24.0,2000.0,2.0,0.5627,60000.0,0.0,1,0.5024
L-20146,2024-10-10,8.0,1.0,4.0,0.0,2.0,19.0,4.0,0.0,1.0,0.0,0.0,25.0,8.0,6.0,0.2737,60000.0,0.0,0,0.5712
L-20147,2024-08-29,2000.0,3.0,7.0,3.0,4.0,22.0,7.0,0.0,7.0,6.0,2.0,19.0,2000.0,4.0,0.6497,8000.0,1.0,1,0.9703
L-20148,2024-07-18,25.0,3.0,3.0,2.0,2.0,26.0,6.0,1.0,6.0,4.0,2.0,2.0,25.0,9.0,0.4089,4000.0,1.0,1,0.9916
L-20149,2025-07-26,600.0,5.0,3.0,4.0,4.0,24.0,6.0,0.0,13.0,13.0,3.0,30.0,600.0,9.0,0.274,60000.0,1.0,1,0.9754
L-20150,2025-10-15,80.0,2.0,2.0,1.0,1.0,15.0,2.0,0.0,1.0,1.0,3.0,23.0,80.0,5.0,0.1526,28000.0,0.0,0,0.5394
L-20151,2025-07-05,200.0,4.0,1.0,2.0,4.0,27.0,3.0,0.0,4.0,0.0,5.0,1.0,200.0,2.0,0.6761,28000.0,1.0,1,0.9529
L-20152,2024-12-20,80.0,0.0,0.0,2.0,3.0,21.0,2.0,0.0,13.0,9.0,0.0,34.0,80.0,5.0,0.2413,8000.0,0.0,1,0.6452
L-20153,2024-09-21,600.0,5.0,6.0,3.0,0.0,0.0,5.0,0.0,11.0,7.0,2.0,0.0,600.0,5.0,0.4262,28000.0,1.0,1,0.8143
