external_id,created_at,trip_length,party_size,booking_lead_days,past_hotels,past_cars,past_activities,search_hotel,search_activity,loyalty_tier,fare_class,email_clicks,bought_ancillary,true_p0_ancillary,true_p_hotel,true_p_activity,true_p_car,true_p_insurance,true_p_bundle,offer_value
T-40030,2026-02-10,7.0,1.0,63.0,4.0,2.0,1.0,8.0,2.0,2.0,2.0,5.0,1,0.95,0.9309,0.4256,0.3894,0.2351,0.7035,120.0
T-40031,2026-03-31,7.0,4.0,12.0,6.0,3.0,0.0,2.0,1.0,3.0,1.0,4.0,1,0.95,0.902,0.2891,0.6225,0.1519,0.6262,120.0
T-40032,2026-03-09,6.0,4.0,32.0,6.0,0.0,5.0,4.0,4.0,3.0,0.0,3.0,1,0.95,0.9241,0.8455,0.2689,0.1435,0.8888,120.0
T-40033,2025-11-23,11.0,3.0,20.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,1,0.95,0.8161,0.7503,0.4626,0.1339,0.7865,120.0
T-40034,2025-10-27,11.0,2.0,10.0,1.0,3.0,3.0,5.0,6.0,0.0,1.0,1.0,1,0.95,0.7908,0.7858,0.5498,0.1502,0.7886,120.0
T-40035,2025-12-16,12.0,3.0,83.0,1.0,4.0,4.0,9.0,6.0,0.0,1.0,2.0,1,0.95,0.8938,0.8455,0.7006,0.2233,0.8721,120.0
T-40036,2025-09-30,6.0,1.0,3.0,4.0,3.0,1.0,6.0,1.0,2.0,1.0,3.0,1,0.95,0.8966,0.3775,0.5125,0.1443,0.663,120.0
T-40037,2025-08-22,9.0,4.0,81.0,4.0,0.0,2.0,0.0,5.0,2.0,1.0,1.0,1,0.9489,0.7892,0.6682,0.2689,0.221,0.7347,120.0
T-40038,2026-03-21,12.0,2.0,51.0,6.0,3.0,4.0,4.0,5.0,2.0,2.0,2.0,1,0.95,0.9517,0.8176,0.5498,0.221,0.8913,120.0
T-40039,2025-08-03,2.0,3.0,8.0,4.0,3.0,1.0,4.0,3.0,0.0,0.0,2.0,1,0.95,0.8146,0.475,0.5866,0.1249,0.6618,120.0
T-40040,2026-02-07,7.0,2.0,15.0,4.0,2.0,3.0,3.0,3.0,3.0,0.0,2.0,1,0.95,0.8455,0.6682,0.4256,0.1301,0.7657,120.0
T-40041,2026-02-26,2.0,3.0,59.0,0.0,2.0,4.0,5.0,2.0,3.0,0.0,1.0,1,0.9324,0.5646,0.7109,0.4626,0.1671,0.6305,120.0
T-40042,2026-01-03,5.0,2.0,52.0,3.0,4.0,0.0,0.0,4.0,2.0,2.0,3.0,1,0.9346,0.657,0.4256,0.6682,0.2221,0.5529,120.0
T-40043,2025-07-20,3.0,2.0,26.0,3.0,4.0,2.0,0.0,3.0,0.0,1.0,4.0,1,0.9464,0.6201,0.5744,0.6682,0.1643,0.5996,120.0
T-40044,2025-09-03,7.0,1.0,28.0,7.0,0.0,3.0,6.0,2.0,0.0,1.0,2.0,1,0.95,0.9641,0.6225,0.19,0.1661,0.8104,120.0
T-40045,2025-09-17,10.0,3.0,42.0,7.0,2.0,4.0,9.0,4.0,0.0,0.0,3.0,1,0.95,0.9832,0.7858,0.4626,0.1519,0.8944,120.0
T-40046,2025-11-26,6.0,1.0,71.0,2.0,3.0,3.0,3.0,6.0,0.0,2.0,5.0,1,0.95,0.715,0.7858,0.5125,0.2448,0.7469,120.0
T-40047,2026-04-17,2.0,3.0,88.0,1.0,0.0,3.0,7.0,1.0,3.0,1.0,3.0,1,0.9112,0.7251,0.5744,0.2405,0.2291,0.6573,120.0
T-40048,2025-03-07,6.0,1.0,20.0,7.0,3.0,1.0,8.0,5.0,0.0,1.0,1.0,1,0.95,0.9726,0.5744,0.5125,0.1589,0.7934,120.0
T-40049,2026-02-28,10.0,1.0,88.0,7.0,3.0,2.0,0.0,7.0,1.0,0.0,5.0,0,0.95,0.9206,0.7503,0.5125,0.1957,0.8439,120.0
T-40050,2025-10-09,11.0,4.0,53.0,2.0,2.0,4.0,6.0,7.0,3.0,0.0,5.0,1,0.95,0.8653,0.8699,0.5,0.1616,0.8674,120.0
T-40051,2025-09-14,7.0,2.0,53.0,0.0,3.0,1.0,2.0,3.0,3.0,2.0,0.0,1,0.8889,0.53,0.475,0.5498,0.2233,0.5052,120.0
T-40052,2025-04-25,13.0,4.0,21.0,6.0,2.0,1.0,7.0,5.0,2.0,0.0,5.0,1,0.95,0.9734,0.5744,0.5,0.1347,0.7939,120.0
T-40053,2026-02-26,6.0,3.0,3.0,7.0,3.0,1.0,0.0,5.0,1.0,1.0,2.0,1,0.95,0.8938,0.5744,0.5866,0.1443,0.7501,120.0
T-40054,2025-12-03,2.0,4.0,66.0,3.0,1.0,5.0,2.0,2.0,1.0,0.0,2.0,1,0.95,0.6835,0.7858,0.3775,0.1736,0.7296,120.0
T-40055,2026-04-01,3.0,3.0,27.0,6.0,3.0,2.0,6.0,3.0,3.0,1.0,3.0,1,0.95,0.9321,0.5744,0.5866,0.1652,0.7712,120.0
T-40056,2026-03-08,8.0,1.0,23.0,6.0,3.0,5.0,7.0,1.0,2.0,2.0,3.0,1,0.95,0.9608,0.7503,0.5125,0.1905,0.8661,120.0
T-40057,2025-05-02,3.0,2.0,89.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1,0.9162,0.7685,0.475,0.31,0.2676,0.6364,120.0
T-40058,2025-05-17,4.0,4.0,13.0,6.0,0.0,1.0,0.0,3.0,2.0,2.0,4.0,1,0.9366,0.8348,0.475,0.2689,0.1804,0.6729,120.0
T-40059,2025-07-24,3.0,3.0,9.0,1.0,0.0,5.0,9.0,0.0,3.0,0.0,2.0,1,0.95,0.8038,0.7109,0.2405,0.1256,0.762,120.0
T-40060,2025-10-11,5.0,3.0,47.0,6.0,0.0,0.0,9.0,5.0,0.0,1.0,0.0,1,0.95,0.9651,0.475,0.2405,0.1844,0.7446,120.0
T-40061,2026-02-02,11.0,3.0,37.0,4.0,2.0,1.0,6.0,6.0,3.0,2.0,3.0,1,0.95,0.9282,0.6225,0.4626,0.2053,0.7906,120.0
T-40062,2025-05-01,12.0,4.0,77.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,0,0.8812,0.7389,0.3775,0.2689,0.2164,0.5763,120.0
T-40063,2025-06-11,4.0,4.0,54.0,0.0,0.0,5.0,9.0,3.0,2.0,1.0,5.0,1,0.95,0.7577,0.8176,0.2689,0.1915,0.7846,120.0
T-40064,2025-05-22,4.0,4.0,39.0,2.0,1.0,1.0,6.0,3.0,0.0,2.0,4.0,1,0.93,0.7858,0.475,0.3775,0.2075,0.646,120.0
T-40065,2025-03-26,10.0,4.0,37.0,1.0,2.0,2.0,0.0,3.0,3.0,1.0,5.0,1,0.912,0.5866,0.5744,0.5,0.1746,0.5811,120.0
T-40066,2025-12-29,5.0,3.0,51.0,6.0,2.0,3.0,2.0,7.0,3.0,0.0,4.0,1,0.95,0.887,0.8176,0.4626,0.1598,0.8557,120.0
T-40067,2026-01-03,10.0,2.0,89.0,4.0,4.0,1.0,2.0,7.0,1.0,2.0,2.0,1,0.95,0.8532,0.6682,0.6682,0.2676,0.7699,120.0
T-40068,2026-05-11,7.0,2.0,10.0,7.0,4.0,0.0,5.0,3.0,2.0,2.0,4.0,1,0.95,0.9573,0.3775,0.6682,0.1775,0.6964,120.0
T-40069,2025-05-04,8.0,3.0,40.0,5.0,1.0,1.0,6.0,3.0,3.0,0.0,4.0,1,0.95,0.9352,0.475,0.343,0.1502,0.7281,120.0
T-40070,2026-01-04,12.0,1.0,52.0,4.0,1.0,5.0,5.0,1.0,0.0,1.0,0.0,1,0.95,0.9213,0.7503,0.2789,0.1895,0.8443,120.0
T-40071,2026-01-19,13.0,4.0,65.0,5.0,0.0,1.0,9.0,4.0,2.0,2.0,2.0,1,0.95,0.9737,0.525,0.2689,0.2375,0.7718,120.0
T-40072,2025-10-01,10.0,4.0,27.0,1.0,3.0,3.0,2.0,5.0,2.0,0.0,3.0,1,0.95,0.6704,0.7503,0.6225,0.1394,0.7063,120.0
T-40073,2026-04-22,6.0,3.0,25.0,4.0,3.0,4.0,1.0,0.0,1.0,0.0,4.0,1,0.95,0.779,0.6225,0.5866,0.1378,0.7086,120.0
T-40074,2026-02-26,4.0,3.0,89.0,6.0,3.0,0.0,9.0,4.0,3.0,2.0,4.0,1,0.95,0.9623,0.4256,0.5866,0.2676,0.7208,120.0
T-40075,2025-04-13,2.0,2.0,22.0,1.0,1.0,5.0,6.0,3.0,3.0,0.0,5.0,1,0.95,0.6878,0.8176,0.31,0.1355,0.7462,120.0
T-40076,2026-05-29,2.0,1.0,71.0,7.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,1,0.95,0.8594,0.6682,0.5125,0.1785,0.7733,120.0
T-40077,2026-04-19,7.0,4.0,56.0,2.0,4.0,3.0,8.0,1.0,0.0,2.0,1.0,1,0.95,0.8699,0.5744,0.7311,0.2268,0.7369,120.0
T-40078,2025-03-04,6.0,4.0,11.0,2.0,1.0,0.0,0.0,5.0,3.0,1.0,5.0,1,0.8673,0.5939,0.475,0.3775,0.151,0.5404,120.0
T-40079,2026-05-08,4.0,3.0,76.0,7.0,0.0,3.0,1.0,7.0,3.0,0.0,1.0,1,0.95,0.8957,0.8176,0.2405,0.1834,0.8605,120.0
T-40080,2025-12-06,2.0,3.0,63.0,0.0,2.0,3.0,8.0,1.0,1.0,2.0,2.0,1,0.9291,0.69,0.5744,0.4626,0.2351,0.638,120.0
T-40081,2025-10-02,3.0,4.0,57.0,0.0,3.0,5.0,6.0,4.0,2.0,1.0,1.0,1,0.95,0.6271,0.8455,0.6225,0.1947,0.7254,120.0
T-40082,2025-05-04,5.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,0.0,4.0,1,0.9418,0.733,0.6682,0.343,0.122,0.7038,120.0
T-40083,2025-11-15,13.0,4.0,23.0,5.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,1,0.95,0.8975,0.4256,0.2689,0.1905,0.6851,120.0
T-40084,2025-07-04,13.0,3.0,17.0,2.0,4.0,4.0,3.0,5.0,0.0,1.0,3.0,1,0.95,0.8146,0.8176,0.7006,0.1562,0.8159,120.0
T-40085,2025-05-03,6.0,3.0,63.0,0.0,1.0,0.0,7.0,6.0,0.0,0.0,4.0,1,0.9123,0.7191,0.525,0.343,0.1708,0.6317,120.0
T-40086,2026-01-06,12.0,2.0,11.0,7.0,1.0,2.0,5.0,0.0,3.0,2.0,1.0,1,0.95,0.971,0.4256,0.31,0.1785,0.7255,120.0
T-40087,2026-02-12,10.0,1.0,85.0,3.0,0.0,1.0,8.0,7.0,0.0,2.0,0.0,1,0.95,0.9234,0.6682,0.19,0.2624,0.8086,120.0
T-40088,2026-03-11,12.0,3.0,66.0,6.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,1,0.95,0.9055,0.6225,0.2405,0.1736,0.7781,120.0
T-40089,2025-08-20,4.0,3.0,8.0,2.0,0.0,4.0,5.0,2.0,3.0,1.0,0.0,1,0.946,0.754,0.7109,0.2405,0.1485,0.7346,120.0
T-40090,2025-10-04,11.0,3.0,76.0,5.0,3.0,4.0,9.0,7.0,1.0,2.0,5.0,1,0.95,0.9692,0.8699,0.5866,0.251,0.9,120.0
T-40091,2025-05-26,2.0,3.0,9.0,0.0,0.0,3.0,5.0,7.0,1.0,1.0,0.0,1,0.9397,0.5646,0.8176,0.2405,0.1493,0.6785,120.0
T-40092,2025-11-09,6.0,3.0,60.0,1.0,1.0,4.0,7.0,2.0,3.0,1.0,4.0,1,0.95,0.7841,0.7109,0.343,0.1978,0.7512,120.0
T-40093,2026-01-11,13.0,4.0,61.0,5.0,2.0,3.0,6.0,4.0,1.0,0.0,3.0,1,0.95,0.9556,0.7109,0.5,0.1689,0.8455,120.0
T-40094,2025-08-01,13.0,3.0,28.0,6.0,0.0,2.0,8.0,4.0,3.0,1.0,5.0,1,0.95,0.9777,0.6225,0.2405,0.1661,0.8178,120.0
T-40095,2025-03-06,10.0,3.0,75.0,5.0,0.0,1.0,2.0,5.0,1.0,2.0,2.0,1,0.95,0.8919,0.5744,0.2405,0.2497,0.749,120.0
T-40096,2026-03-29,13.0,3.0,64.0,4.0,3.0,0.0,9.0,4.0,0.0,1.0,2.0,1,0.95,0.963,0.4256,0.5866,0.2021,0.7212,120.0
T-40097,2025-11-10,10.0,3.0,39.0,6.0,1.0,3.0,3.0,3.0,3.0,2.0,0.0,1,0.95,0.9334,0.6682,0.343,0.2075,0.8141,120.0
T-40098,2025-10-29,10.0,1.0,87.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,5.0,1,0.8712,0.7446,0.3775,0.19,0.2279,0.5794,120.0
T-40099,2025-10-18,11.0,4.0,41.0,5.0,2.0,3.0,0.0,1.0,1.0,2.0,5.0,1,0.95,0.8618,0.5744,0.5,0.2097,0.7325,120.0
T-40100,2025-12-13,8.0,1.0,16.0,0.0,1.0,1.0,7.0,2.0,0.0,1.0,3.0,1,0.8965,0.7503,0.4256,0.2789,0.1553,0.6041,120.0
T-40101,2026-03-18,5.0,4.0,14.0,6.0,4.0,3.0,7.0,4.0,2.0,2.0,4.0,1,0.95,0.9507,0.7109,0.7311,0.1814,0.8428,120.0
T-40102,2025-07-28,13.0,2.0,35.0,4.0,1.0,0.0,5.0,1.0,2.0,2.0,1.0,1,0.95,0.9269,0.2891,0.31,0.2032,0.6399,120.0
T-40103,2025-12-02,7.0,1.0,27.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,1,0.95,0.7941,0.7858,0.6341,0.1947,0.7904,120.0
T-40104,2026-03-10,11.0,1.0,18.0,7.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,1,0.95,0.9473,0.6225,0.3894,0.1854,0.8011,120.0
T-40105,2026-02-07,6.0,2.0,83.0,0.0,4.0,4.0,9.0,4.0,1.0,2.0,4.0,1,0.95,0.7858,0.7858,0.6682,0.2599,0.7858,120.0
T-40106,2025-06-28,11.0,1.0,38.0,2.0,2.0,1.0,9.0,5.0,1.0,1.0,1.0,1,0.95,0.9168,0.5744,0.3894,0.1756,0.7628,120.0
T-40107,2026-01-07,12.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1,0.95,0.852,0.7109,0.3775,0.1699,0.7885,120.0
T-40108,2025-08-16,9.0,3.0,74.0,3.0,3.0,4.0,1.0,5.0,1.0,2.0,5.0,1,0.95,0.7595,0.8176,0.5866,0.2485,0.7856,120.0
T-40109,2026-01-31,5.0,3.0,77.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0,0.7185,0.4452,0.3318,0.2405,0.2522,0.3942,120.0
T-40110,2025-04-11,5.0,2.0,69.0,5.0,1.0,0.0,2.0,3.0,0.0,1.0,3.0,1,0.9342,0.8468,0.3775,0.31,0.2075,0.6357,120.0
T-40111,2025-06-23,6.0,3.0,24.0,5.0,4.0,2.0,3.0,5.0,1.0,0.0,0.0,1,0.95,0.8776,0.6682,0.7006,0.1371,0.7834,120.0
T-40112,2025-05-06,7.0,4.0,53.0,3.0,0.0,4.0,7.0,5.0,2.0,1.0,2.0,1,0.95,0.888,0.8176,0.2689,0.1905,0.8563,120.0
T-40113,2026-03-23,11.0,3.0,84.0,6.0,2.0,3.0,8.0,3.0,2.0,1.0,2.0,1,0.95,0.9739,0.6682,0.4626,0.2244,0.8363,120.0
T-40114,2026-01-02,12.0,1.0,41.0,7.0,2.0,0.0,8.0,1.0,1.0,2.0,1.0,1,0.95,0.9829,0.2891,0.3894,0.2097,0.6707,120.0
T-40115,2025-03-28,9.0,2.0,51.0,4.0,4.0,1.0,5.0,1.0,3.0,0.0,0.0,1,0.95,0.902,0.3775,0.6682,0.1598,0.666,120.0
T-40116,2025-10-18,10.0,1.0,66.0,3.0,4.0,4.0,3.0,4.0,2.0,0.0,0.0,1,0.95,0.8306,0.7858,0.6341,0.1736,0.8105,120.0
T-40117,2025-09-18,8.0,1.0,28.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,2.0,1,0.878,0.713,0.475,0.19,0.1957,0.6059,120.0
T-40118,2026-01-05,11.0,2.0,3.0,3.0,2.0,5.0,3.0,7.0,1.0,0.0,4.0,1,0.95,0.8416,0.9089,0.4256,0.1213,0.8719,120.0
T-40119,2025-07-19,3.0,3.0,69.0,0.0,2.0,0.0,7.0,3.0,2.0,0.0,0.0,1,0.889,0.6682,0.3775,0.4626,0.1765,0.5374,120.0
T-40120,2026-02-22,6.0,1.0,18.0,4.0,0.0,3.0,7.0,1.0,3.0,1.0,0.0,1,0.95,0.9121,0.5744,0.19,0.1571,0.7602,120.0
T-40121,2025-03-29,6.0,3.0,45.0,3.0,2.0,3.0,7.0,0.0,1.0,1.0,4.0,1,0.95,0.8797,0.525,0.4626,0.1824,0.7201,120.0
T-40122,2025-06-28,6.0,1.0,71.0,4.0,2.0,5.0,5.0,1.0,2.0,0.0,2.0,1,0.95,0.8787,0.7503,0.3894,0.1785,0.8209,120.0
T-40123,2025-12-14,12.0,4.0,8.0,6.0,2.0,0.0,5.0,4.0,2.0,0.0,4.0,1,0.95,0.9593,0.4256,0.5,0.1249,0.7191,120.0
T-40124,2025-08-13,8.0,1.0,61.0,3.0,0.0,2.0,9.0,1.0,2.0,2.0,0.0,1,0.95,0.9248,0.475,0.19,0.2327,0.7224,120.0
T-40125,2025-06-15,3.0,1.0,82.0,6.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,1,0.95,0.9593,0.3318,0.2789,0.2221,0.6769,120.0
T-40126,2026-01-15,7.0,3.0,3.0,2.0,1.0,2.0,2.0,6.0,2.0,0.0,1.0,1,0.9419,0.6942,0.7109,0.343,0.1213,0.7018,120.0
T-40127,2025-11-27,11.0,2.0,10.0,7.0,4.0,3.0,6.0,6.0,2.0,2.0,5.0,1,0.95,0.9737,0.7858,0.6682,0.1775,0.8891,120.0
T-40128,2025-07-11,7.0,4.0,8.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,1,0.7672,0.4403,0.3318,0.3775,0.1756,0.3915,120.0
T-40129,2025-05-22,10.0,3.0,55.0,2.0,2.0,1.0,0.0,5.0,3.0,2.0,0.0,0,0.9241,0.6682,0.5744,0.4626,0.2256,0.626,120.0
T-40130,2025-09-09,6.0,2.0,86.0,6.0,2.0,1.0,7.0,2.0,3.0,0.0,2.0,1,0.95,0.9543,0.4256,0.4256,0.1936,0.7164,120.0
T-40131,2025-07-31,3.0,1.0,8.0,4.0,3.0,4.0,9.0,6.0,1.0,2.0,3.0,1,0.95,0.9213,0.8455,0.5125,0.1756,0.8872,120.0
T-40132,2026-01-30,13.0,3.0,15.0,2.0,4.0,0.0,3.0,6.0,1.0,1.0,5.0,1,0.95,0.8146,0.525,0.7006,0.1545,0.6843,120.0
T-40133,2025-08-23,11.0,4.0,88.0,5.0,3.0,5.0,2.0,3.0,0.0,2.0,5.0,1,0.95,0.8993,0.8176,0.6225,0.2663,0.8625,120.0
T-40134,2025-08-20,2.0,4.0,64.0,0.0,1.0,5.0,4.0,4.0,3.0,0.0,2.0,1,0.95,0.52,0.8455,0.3775,0.1717,0.6665,120.0
T-40135,2025-04-05,8.0,4.0,37.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,1,0.9369,0.7089,0.4256,0.6225,0.1476,0.5814,120.0
T-40136,2025-04-22,3.0,1.0,61.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,1,0.95,0.6615,0.7503,0.6341,0.2327,0.7014,120.0
T-40137,2026-05-19,6.0,4.0,8.0,5.0,4.0,3.0,0.0,0.0,1.0,1.0,3.0,1,0.95,0.8069,0.525,0.7311,0.1485,0.68,120.0
T-40138,2026-05-01,2.0,1.0,35.0,1.0,2.0,3.0,6.0,0.0,2.0,0.0,2.0,1,0.9095,0.6878,0.525,0.3894,0.146,0.6145,120.0
T-40139,2025-05-23,9.0,1.0,11.0,3.0,0.0,0.0,8.0,5.0,0.0,1.0,3.0,1,0.95,0.9176,0.475,0.19,0.151,0.7184,120.0
T-40140,2026-05-21,5.0,3.0,28.0,1.0,2.0,4.0,4.0,6.0,1.0,1.0,0.0,1,0.95,0.6615,0.8455,0.4626,0.1661,0.7443,120.0
T-40141,2026-01-04,5.0,4.0,74.0,3.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,1,0.95,0.9064,0.7109,0.2689,0.1814,0.8184,120.0
T-40142,2025-10-29,10.0,1.0,10.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1,0.9327,0.8532,0.2497,0.3894,0.1502,0.5816,120.0
T-40143,2025-09-22,2.0,4.0,58.0,4.0,1.0,4.0,5.0,0.0,3.0,2.0,1.0,1,0.95,0.8402,0.6225,0.3775,0.2291,0.7422,120.0
T-40144,2025-09-05,10.0,4.0,31.0,5.0,2.0,4.0,7.0,0.0,0.0,1.0,3.0,1,0.95,0.953,0.6225,0.5,0.1689,0.8043,120.0
T-40145,2026-03-17,4.0,3.0,31.0,1.0,3.0,5.0,8.0,6.0,0.0,2.0,4.0,1,0.95,0.7875,0.8909,0.5866,0.1989,0.834,120.0
T-40146,2026-02-15,9.0,4.0,86.0,3.0,4.0,3.0,1.0,2.0,0.0,2.0,3.0,1,0.95,0.7595,0.6225,0.7311,0.2637,0.6978,120.0
T-40147,2026-04-01,4.0,4.0,12.0,2.0,4.0,0.0,3.0,1.0,3.0,2.0,4.0,1,0.9391,0.6814,0.2891,0.7311,0.1795,0.5048,120.0
T-40148,2025-08-21,2.0,4.0,27.0,4.0,2.0,1.0,6.0,4.0,1.0,1.0,4.0,1,0.95,0.8629,0.525,0.5,0.1652,0.7109,120.0
T-40149,2025-06-04,6.0,3.0,7.0,3.0,2.0,3.0,4.0,5.0,1.0,0.0,4.0,1,0.95,0.81,0.7503,0.4626,0.1242,0.7831,120.0
T-40150,2025-06-19,12.0,3.0,39.0,0.0,0.0,4.0,2.0,1.0,2.0,1.0,2.0,1,0.906,0.6271,0.6682,0.2405,0.1765,0.6456,120.0
