tenure,usage,segment,revenue
26,28.476037794798167,small,200.71801501405704
9,9.54757460935706,mid,122.51178740629442
16,24.28429472261553,mid,167.12803233332406
33,17.588579566134587,small,205.93564405066735
33,20.673459094089406,mid,217.749264518746
26,24.188596924495318,mid,189.9691772055129
1,25.416265778456722,mid,120.96443628694254
27,25.19675345154418,small,195.3645278275239
9,20.775533455391265,small,132.78605326878184
32,28.04831341509157,mid,224.23652649943767
36,18.585128863919316,small,219.59373151534848
17,19.295090434646067,small,158.23089341750307
38,23.99675594447043,mid,233.4163512850997
30,17.24313796009768,small,202.00052352075824
13,30.804531293506233,small,164.51015662638724
35,25.09603282677311,mid,227.01691485564936
15,30.877876613101968,small,175.4481328595698
4,19.8670540642211,mid,117.74831332101627
24,18.084557248693464,small,180.23064543386892
34,20.835240010834628,mid,215.87961609980323
26,23.672882513030952,small,201.01772416098996
16,17.06286156562994,small,159.05362882419422
36,21.898508734862236,small,231.00621844628012
19,19.91597860539583,small,168.54736761946552
16,28.07840880288222,mid,169.8825621166805
6,16.686490938495673,mid,125.9721792980042
9,25.230808858643595,small,142.5454856827387
28,16.780682322299956,small,196.41562068471939
32,15.196829034462889,small,206.57273165456849
12,16.448502863121885,mid,138.63463195561945
25,14.049070690788763,mid,179.33592029014366
34,20.731751800332262,small,217.34744855014168
6,25.15630398039332,mid,141.35218709306312
11,20.82157439267399,small,154.7014975060839
21,23.12162556092438,small,179.17056678895315
22,28.16087097787566,small,189.88147808466113
16,21.350132235894257,small,151.96384731109643
16,20.97581180481547,mid,161.41226572526102
6,18.624692660198626,small,125.24643783497876
24,11.958788574943588,small,169.2509288377885
37,23.79869465934042,mid,234.86054945412548
8,11.217697761870106,small,115.04176162180806
32,23.26338218191914,small,214.109323247493
8,19.928398321330228,small,134.0551846987547
2,25.633907254052176,small,117.29147038441288
30,19.66114869744769,small,206.95257114525376
8,15.883999210211666,small,132.05984589118555
30,21.78955133376293,mid,200.9596884545743
13,17.198819321459368,small,140.04699265569965
23,19.095215876690933,mid,182.74234016228368
37,20.209353934310002,small,226.57110749447006
36,19.327251441271653,mid,217.4125394589024
19,19.055988625130915,mid,166.29747714370188
9,15.837775058564743,mid,130.54281835947359
10,19.05433107953595,mid,138.1039077763193
34,9.3082969643949,small,205.14157034532747
23,19.21333952387385,small,182.0354683329221
7,14.00972007034039,small,129.09146332351762
35,25.60131845173511,small,233.33928780048
38,26.34963373660627,small,241.20338232042087
38,10.24487109739372,small,220.25113703486912
25,20.724583951829448,small,194.3096962156793
39,19.36818038916622,small,234.7394318917923
24,14.766421849595657,mid,172.57002147353856
20,22.658265713244997,mid,179.15924064456027
38,17.69155227672627,mid,226.65726353541618
24,11.16200452156698,small,178.90205034439037
31,18.66661673971516,small,205.70716018202526
14,19.258734408499524,mid,153.8661979748023
31,20.532155091207372,small,209.26357675202334
38,13.843835006336171,small,227.70627102781827
3,23.078404634607946,mid,122.61849576112786
21,23.677285440994456,small,179.2700400119743
15,14.27086361572545,mid,149.2155762610259
3,16.705722155084118,mid,111.22997794679983
4,19.598313430853217,small,120.88579575102196
11,17.17037336493817,mid,139.20863458856536
8,28.71877304924843,small,146.89277253094798
28,21.041860580791234,small,206.7517409604301
9,14.947089818229005,mid,128.1031634631171
25,16.05945536187609,small,182.63113033652465
34,19.712648708721396,small,215.59974120215367
20,31.478894041293042,small,190.76089781844533
5,19.108678390884666,small,118.02585121432057
3,20.63738209619903,mid,115.72141699484041
12,22.570226890790877,mid,149.84035923900814
17,19.79937031868479,mid,164.303709847308
20,31.403304362833538,mid,187.7795012660632
12,17.3423752648742,mid,140.67818028516837
34,23.72101562572893,small,218.542112260935
23,20.802189844917855,mid,184.7700763204275
38,23.105981866082082,mid,239.71716898356223
37,14.116785207901309,mid,219.45500125960697
28,28.840563475535955,mid,210.72932896667893
2,19.392362464182693,mid,115.32479947484207
9,20.17081631033758,small,133.26853116799953
30,15.325118690656248,mid,196.20846662324612
22,16.351523659083753,small,172.22042743791275
37,22.821197165840154,mid,231.53063784270395
28,24.9324994305534,small,204.3773964403767
32,23.766273453768672,small,210.8071826274364
3,26.04485124844285,mid,130.56370796812035
