external_id,customer_id,amount,currency,stage,source,owner_id,created_at,close_date,last_contact_days_ago,engagement_score,sales_rep_available,industry,num_interactions,converted
opp_32,cust_28,9809.13,AED,proposal,website,rep_7,2025-12-07,2025-12-21,17,0.29,True,logistics,15,0
opp_33,cust_114,9040.27,AED,proposal,inbound,rep_10,2025-10-19,2026-01-17,4,0.09,True,healthcare,9,1
opp_34,cust_71,21793.95,AED,qualification,website,rep_9,2026-01-25,2026-03-11,6,0.63,True,retail,8,0
opp_35,cust_85,8385.06,AED,qualification,inbound,rep_9,2025-04-25,2025-05-17,4,0.51,True,telecom,2,1
opp_36,cust_77,29065.99,AED,prospecting,partner,rep_7,2025-09-07,2025-09-21,0,0.95,True,finance,13,0
opp_37,cust_120,9621.8,AED,proposal,website,rep_3,2025-12-14,2026-02-17,0,0.69,True,healthcare,4,0
opp_38,cust_98,4128.19,AED,prospecting,partner,rep_6,2025-08-30,2025-10-06,0,0.56,True,saas,3,1
opp_39,cust_18,8586.31,AED,qualification,partner,rep_11,2025-02-01,2025-03-31,36,0.45,False,telecom,0,0
opp_40,cust_120,5451.19,AED,closed_lost,outbound,rep_12,2025-03-05,2025-05-30,19,0.75,True,saas,2,0
opp_41,cust_97,5775.65,AED,prospecting,website,rep_7,2025-06-14,2025-09-09,8,0.89,True,retail,8,0
opp_42,cust_89,28359.7,AED,prospecting,outbound,rep_9,2025-03-08,2025-06-02,25,0.42,True,saas,13,0
opp_43,cust_134,2150.92,AED,prospecting,referral,rep_11,2025-08-29,2025-10-01,12,0.78,True,healthcare,2,1
opp_44,cust_63,1516.86,AED,negotiation,partner,rep_8,2025-02-19,2025-04-09,0,0.56,True,logistics,11,0
opp_45,cust_133,6615.39,AED,qualification,inbound,rep_4,2025-11-07,2025-12-26,12,0.36,False,logistics,3,0
opp_46,cust_104,13962.13,AED,qualification,website,rep_12,2025-01-14,2025-02-08,12,0.57,True,logistics,0,1
opp_47,cust_50,7145.41,AED,proposal,partner,rep_6,2025-06-11,2025-07-27,8,0.36,False,healthcare,14,1
opp_48,cust_26,5146.32,AED,closed_lost,outbound,rep_4,2026-01-30,2026-04-21,17,0.54,True,saas,15,0
opp_49,cust_121,19336.19,AED,prospecting,inbound,rep_8,2025-02-27,2025-03-14,6,0.52,True,retail,9,0
opp_50,cust_14,18872.46,AED,closed_lost,referral,rep_3,2025-02-12,2025-05-10,22,0.57,False,healthcare,5,0
opp_51,cust_114,15535.85,AED,closed_lost,inbound,rep_5,2025-09-30,2025-12-01,11,0.66,True,finance,8,0
opp_52,cust_142,12148.64,AED,qualification,website,rep_2,2025-02-16,2025-03-22,35,0.25,False,finance,12,0
opp_53,cust_51,6404.28,AED,proposal,website,rep_7,2025-11-22,2026-02-19,12,0.49,False,retail,7,0
opp_54,cust_113,5544.6,AED,negotiation,referral,rep_2,2026-01-24,2026-04-20,13,0.72,True,saas,6,0
opp_55,cust_173,8774.04,AED,negotiation,referral,rep_10,2025-05-14,2025-05-31,11,0.29,True,telecom,9,1
opp_56,cust_150,4399.03,AED,closed_lost,referral,rep_7,2025-08-20,2025-10-08,0,0.58,True,finance,4,0
opp_57,cust_141,5078.6,AED,closed_lost,partner,rep_1,2025-06-02,2025-08-06,19,0.44,True,saas,3,0
opp_58,cust_14,43275.4,AED,qualification,inbound,rep_4,2025-12-08,2026-03-01,21,0.17,True,healthcare,7,0
opp_59,cust_156,7736.63,AED,negotiation,partner,rep_4,2025-03-09,2025-03-26,5,0.56,True,saas,0,0
opp_60,cust_75,15716.31,AED,proposal,website,rep_9,2025-03-07,2025-04-09,6,0.4,True,finance,9,0
opp_61,cust_107,10742.98,AED,closed_won,partner,rep_6,2025-02-10,2025-03-31,24,0.56,True,healthcare,0,1
opp_62,cust_142,9753.57,AED,qualification,inbound,rep_9,2025-10-08,2025-12-22,10,0.88,True,saas,12,1
opp_63,cust_167,26819.97,AED,closed_won,outbound,rep_3,2025-07-20,2025-09-21,8,0.41,True,telecom,8,1
opp_64,cust_85,15677.48,AED,prospecting,website,rep_11,2025-11-21,2026-01-24,9,0.49,True,finance,10,0
opp_65,cust_178,16706.15,AED,closed_lost,partner,rep_5,2025-02-25,2025-03-23,10,0.59,True,telecom,14,0
opp_66,cust_21,3992.46,AED,qualification,inbound,rep_10,2025-10-22,2025-11-28,9,0.68,True,healthcare,12,1
opp_67,cust_77,12750.21,AED,negotiation,partner,rep_11,2025-08-20,2025-10-17,9,0.65,True,logistics,4,0
opp_68,cust_180,9638.92,AED,qualification,referral,rep_5,2025-10-25,2025-12-23,15,0.59,False,logistics,12,1
opp_69,cust_91,12757.81,AED,qualification,inbound,rep_4,2025-06-01,2025-07-14,5,0.24,True,healthcare,7,0
opp_70,cust_34,12762.88,AED,qualification,outbound,rep_2,2025-08-19,2025-09-06,0,0.48,True,saas,0,0
opp_71,cust_124,9926.49,AED,negotiation,outbound,rep_5,2025-03-31,2025-05-16,28,0.67,True,saas,11,0
opp_72,cust_117,4582.24,AED,closed_won,partner,rep_6,2025-01-13,2025-03-01,17,0.4,True,logistics,7,1
opp_73,cust_119,23627.72,AED,qualification,partner,rep_12,2025-04-29,2025-05-21,0,0.78,True,finance,10,1
opp_74,cust_95,9800.51,AED,prospecting,inbound,rep_11,2025-10-08,2025-11-08,20,0.65,True,logistics,6,1
opp_75,cust_56,28074.08,AED,closed_lost,partner,rep_8,2025-05-29,2025-06-16,3,0.25,True,retail,13,0
opp_76,cust_32,38490.53,AED,closed_won,inbound,rep_8,2025-02-06,2025-04-11,21,0.34,False,retail,7,1
opp_77,cust_56,15269.31,AED,negotiation,website,rep_4,2026-02-01,2026-04-26,11,0.62,True,retail,0,1
opp_78,cust_7,6060.6,AED,negotiation,website,rep_3,2025-05-14,2025-06-19,31,1.0,False,retail,8,1
opp_79,cust_116,17383.28,AED,proposal,inbound,rep_9,2025-07-10,2025-09-27,14,0.58,True,healthcare,7,1
opp_80,cust_114,20474.43,AED,prospecting,website,rep_2,2025-03-02,2025-05-17,7,0.28,True,saas,14,0
opp_81,cust_111,6938.01,AED,proposal,inbound,rep_2,2025-06-05,2025-08-16,21,0.77,True,telecom,1,1
opp_82,cust_25,9178.27,AED,closed_won,website,rep_6,2025-06-28,2025-09-08,10,0.37,True,logistics,4,1
opp_83,cust_151,7184.66,AED,qualification,outbound,rep_9,2025-07-15,2025-08-14,1,0.45,True,logistics,9,0
opp_84,cust_91,3295.61,AED,prospecting,referral,rep_2,2025-02-01,2025-03-23,28,0.6,True,retail,0,0
opp_85,cust_160,20752.96,AED,prospecting,partner,rep_10,2025-08-13,2025-11-06,16,0.57,True,healthcare,10,0
opp_86,cust_18,7954.18,AED,prospecting,referral,rep_3,2025-03-20,2025-06-14,19,0.38,True,telecom,8,0
opp_87,cust_14,32611.81,AED,prospecting,website,rep_3,2025-10-23,2026-01-21,22,0.6,False,healthcare,5,1
opp_88,cust_30,9596.37,AED,prospecting,inbound,rep_6,2025-05-25,2025-07-05,9,0.73,True,saas,15,0
opp_89,cust_66,11161.22,AED,negotiation,website,rep_5,2025-06-09,2025-07-20,13,0.22,True,telecom,12,0
opp_90,cust_11,16145.91,AED,proposal,partner,rep_7,2025-12-14,2026-02-11,16,0.61,False,telecom,12,1
opp_91,cust_28,8481.3,AED,closed_won,website,rep_4,2025-07-10,2025-08-04,16,0.35,True,finance,5,1
opp_92,cust_136,2178.24,AED,proposal,partner,rep_9,2025-02-14,2025-05-04,23,0.41,True,saas,1,0
opp_93,cust_145,24516.23,AED,qualification,outbound,rep_10,2025-04-06,2025-06-22,17,0.56,True,healthcare,10,0
opp_94,cust_71,6673.46,AED,negotiation,website,rep_10,2025-09-03,2025-11-12,0,0.83,False,healthcare,19,1
opp_95,cust_11,13097.55,AED,prospecting,partner,rep_8,2025-08-30,2025-11-26,13,0.48,True,healthcare,8,0
opp_96,cust_45,26912.39,AED,negotiation,referral,rep_1,2025-06-30,2025-07-24,2,0.47,True,finance,4,1
opp_97,cust_166,8386.81,AED,closed_lost,website,rep_6,2025-11-08,2025-11-28,11,0.42,False,telecom,5,0
opp_98,cust_170,73677.83,AED,proposal,partner,rep_3,2025-03-23,2025-05-18,8,0.68,True,saas,15,1
opp_99,cust_172,12792.39,AED,closed_lost,partner,rep_7,2025-03-12,2025-06-01,23,0.79,True,telecom,13,0
opp_100,cust_26,14699.52,AED,qualification,outbound,rep_9,2025-03-17,2025-04-19,20,0.69,True,logistics,6,1
opp_101,cust_12,5961.87,AED,closed_won,inbound,rep_7,2025-12-26,2026-01-30,0,0.31,True,logistics,3,1
opp_102,cust_121,15443.13,AED,qualification,partner,rep_4,2025-05-08,2025-06-30,0,0.35,True,healthcare,2,0
opp_103,cust_14,5960.51,AED,closed_lost,partner,rep_11,2025-11-11,2025-12-12,0,0.6,True,saas,2,0
opp_104,cust_24,4718.49,AED,proposal,inbound,rep_4,2025-09-25,2025-10-27,9,0.55,True,saas,2,0
opp_105,cust_36,8479.69,AED,closed_lost,partner,rep_1,2025-02-25,2025-04-22,15,0.8,True,finance,9,0
opp_106,cust_39,43103.83,AED,negotiation,outbound,rep_9,2025-01-15,2025-03-02,12,1.0,True,healthcare,2,1
opp_107,cust_128,15404.04,AED,proposal,inbound,rep_10,2025-02-07,2025-03-07,4,0.58,True,logistics,10,0
opp_108,cust_93,10986.43,AED,proposal,outbound,rep_2,2025-12-14,2026-01-07,10,0.66,True,healthcare,3,1
opp_109,cust_86,4925.26,AED,proposal,website,rep_3,2025-11-23,2025-12-20,8,0.34,False,healthcare,1,0
opp_110,cust_118,29949.23,AED,qualification,outbound,rep_1,2025-04-09,2025-05-10,19,0.61,True,telecom,1,1
opp_111,cust_13,9574.34,AED,negotiation,inbound,rep_11,2025-12-03,2026-01-10,19,0.47,True,telecom,0,1
opp_112,cust_95,21432.18,AED,negotiation,partner,rep_9,2025-04-11,2025-06-27,24,0.79,True,telecom,2,0
opp_113,cust_110,4865.5,AED,negotiation,inbound,rep_3,2025-06-06,2025-07-29,25,0.0,True,saas,9,0
opp_114,cust_104,22097.0,AED,proposal,referral,rep_6,2025-02-04,2025-02-27,3,0.72,True,logistics,4,1
opp_115,cust_174,7630.4,AED,negotiation,inbound,rep_8,2025-10-23,2025-11-10,22,0.74,True,saas,8,1
opp_116,cust_48,6978.49,AED,proposal,inbound,rep_8,2025-05-13,2025-06-10,1,0.49,True,healthcare,5,1
opp_117,cust_17,2511.3,AED,prospecting,referral,rep_9,2025-02-19,2025-04-14,5,0.51,True,saas,2,0
opp_118,cust_7,5602.31,AED,closed_won,outbound,rep_6,2025-03-18,2025-05-01,15,0.33,True,saas,2,1
opp_119,cust_19,16312.65,AED,proposal,website,rep_3,2025-08-04,2025-10-09,27,0.86,True,logistics,12,0
opp_120,cust_15,12151.6,AED,prospecting,partner,rep_2,2025-03-13,2025-05-21,8,0.64,True,saas,3,0
opp_121,cust_161,7468.64,AED,prospecting,referral,rep_5,2025-04-16,2025-07-09,9,0.69,True,telecom,13,1
opp_122,cust_145,3458.33,AED,proposal,outbound,rep_1,2025-11-11,2026-01-07,0,0.46,True,telecom,4,0
opp_123,cust_176,11531.58,AED,prospecting,website,rep_7,2025-06-09,2025-08-23,18,0.54,True,telecom,1,0
opp_124,cust_89,4009.33,AED,negotiation,outbound,rep_7,2025-06-15,2025-08-08,1,0.42,False,saas,10,0
opp_125,cust_41,5003.32,AED,proposal,inbound,rep_6,2025-07-21,2025-09-26,22,0.45,True,logistics,7,1
opp_126,cust_130,9875.83,AED,qualification,outbound,rep_8,2025-01-17,2025-02-11,0,0.72,True,retail,8,0
opp_127,cust_68,9170.65,AED,proposal,inbound,rep_12,2025-03-02,2025-05-10,15,0.79,True,finance,13,1
opp_128,cust_141,7847.38,AED,qualification,partner,rep_5,2025-07-22,2025-10-08,24,0.33,True,healthcare,10,0
opp_129,cust_103,11042.12,AED,negotiation,inbound,rep_9,2025-03-20,2025-04-28,15,0.62,False,telecom,0,1
opp_130,cust_130,6911.99,AED,prospecting,referral,rep_9,2025-11-17,2026-01-08,16,1.0,True,logistics,2,1
opp_131,cust_68,16228.95,AED,proposal,partner,rep_11,2026-01-12,2026-01-29,3,0.63,True,healthcare,1,0
opp_132,cust_63,14875.34,AED,proposal,inbound,rep_1,2025-07-19,2025-08-20,6,0.0,True,logistics,6,0
opp_133,cust_133,9952.95,AED,prospecting,inbound,rep_4,2025-09-04,2025-09-25,15,0.34,True,logistics,5,0
opp_134,cust_50,21004.94,AED,proposal,partner,rep_4,2025-07-06,2025-08-22,9,0.63,True,saas,10,1
opp_135,cust_147,9365.78,AED,qualification,referral,rep_11,2026-01-10,2026-02-28,0,0.6,True,finance,5,1
opp_136,cust_55,14667.99,AED,closed_won,outbound,rep_4,2025-08-20,2025-10-05,9,0.31,True,saas,11,1
opp_137,cust_106,15289.12,AED,closed_lost,referral,rep_6,2025-11-28,2026-01-10,22,0.75,True,telecom,4,0
opp_138,cust_74,23595.79,AED,negotiation,outbound,rep_6,2025-09-06,2025-11-20,24,0.46,True,telecom,8,0
opp_139,cust_48,5392.59,AED,closed_won,inbound,rep_12,2025-01-24,2025-03-29,6,0.46,True,saas,7,1
opp_140,cust_35,21456.03,AED,closed_won,inbound,rep_9,2025-08-26,2025-11-17,7,0.12,True,retail,14,1
opp_141,cust_164,38485.86,AED,closed_won,referral,rep_7,2025-10-23,2025-11-30,21,0.68,True,healthcare,7,1
opp_142,cust_61,5228.85,AED,qualification,partner,rep_8,2025-05-13,2025-05-27,8,0.69,True,saas,5,1
opp_143,cust_80,5108.31,AED,qualification,website,rep_12,2025-08-01,2025-10-18,13,0.87,False,saas,7,0
opp_144,cust_171,12300.21,AED,qualification,outbound,rep_4,2025-10-14,2025-12-27,13,0.48,True,logistics,10,0
opp_145,cust_134,18149.62,AED,negotiation,inbound,rep_8,2025-10-07,2025-11-09,10,0.28,False,retail,0,1
opp_146,cust_15,19501.18,AED,negotiation,partner,rep_9,2025-09-25,2025-12-01,22,0.92,True,saas,11,1
opp_147,cust_18,7289.4,AED,negotiation,partner,rep_8,2025-10-10,2025-10-31,12,0.55,False,finance,8,0
opp_148,cust_97,13389.55,AED,prospecting,outbound,rep_7,2025-07-20,2025-09-29,14,0.63,False,logistics,0,0
opp_149,cust_77,11240.43,AED,closed_won,outbound,rep_8,2025-04-30,2025-05-14,4,0.43,True,healthcare,10,1
opp_150,cust_170,7669.1,AED,qualification,partner,rep_7,2026-01-12,2026-02-09,15,0.8,True,telecom,4,1
opp_151,cust_75,8490.58,AED,qualification,inbound,rep_4,2025-04-27,2025-05-18,13,0.6,True,logistics,1,1
opp_152,cust_77,7270.41,AED,proposal,website,rep_5,2025-03-20,2025-06-08,0,0.35,False,healthcare,3,1
opp_153,cust_97,16379.55,AED,closed_won,outbound,rep_3,2025-08-07,2025-10-12,4,0.39,True,finance,0,1
opp_154,cust_63,101278.48,AED,qualification,outbound,rep_5,2025-10-18,2026-01-07,7,0.57,True,logistics,15,1
opp_155,cust_49,4221.52,AED,prospecting,partner,rep_10,2025-11-10,2025-11-29,8,0.61,True,healthcare,7,0
opp_156,cust_62,9571.82,AED,prospecting,outbound,rep_9,2025-11-11,2025-12-21,18,0.41,True,saas,4,0
opp_157,cust_82,8046.25,AED,qualification,website,rep_4,2026-01-10,2026-03-25,5,0.44,True,finance,1,0
opp_158,cust_51,11543.83,AED,prospecting,outbound,rep_6,2026-01-09,2026-03-17,11,0.9,True,healthcare,7,1
opp_159,cust_91,9419.81,AED,closed_won,partner,rep_3,2026-01-19,2026-04-05,4,0.05,False,healthcare,3,1
opp_160,cust_106,11833.3,AED,proposal,website,rep_3,2025-02-13,2025-03-05,37,0.87,True,retail,7,0
opp_161,cust_137,16683.78,AED,prospecting,outbound,rep_9,2025-09-10,2025-11-25,12,0.81,True,telecom,3,1
opp_162,cust_25,9984.68,AED,proposal,referral,rep_9,2025-08-14,2025-09-19,3,0.77,False,retail,7,1
opp_163,cust_21,7635.59,AED,proposal,referral,rep_11,2025-12-28,2026-02-08,4,0.62,True,logistics,4,1
opp_164,cust_112,9142.38,AED,negotiation,inbound,rep_11,2025-12-31,2026-02-04,3,0.68,True,healthcare,10,1
opp_165,cust_176,16865.4,AED,closed_lost,inbound,rep_5,2025-05-24,2025-06-12,0,0.94,True,healthcare,9,0
opp_166,cust_145,28408.01,AED,negotiation,outbound,rep_4,2025-07-28,2025-08-20,19,1.0,True,finance,6,1
opp_167,cust_60,16970.6,AED,negotiation,website,rep_2,2025-07-02,2025-07-22,26,0.37,True,healthcare,17,1
opp_168,cust_142,20829.19,AED,closed_lost,partner,rep_7,2025-08-24,2025-11-08,20,1.0,True,logistics,7,0
opp_169,cust_28,19817.85,AED,proposal,partner,rep_2,2026-01-19,2026-03-23,19,0.81,False,saas,10,1
opp_170,cust_23,8208.36,AED,proposal,referral,rep_6,2025-09-25,2025-11-30,15,0.22,True,healthcare,9,1
opp_171,cust_176,18269.88,AED,proposal,referral,rep_7,2025-05-10,2025-08-05,10,0.57,False,saas,0,1
opp_172,cust_64,6739.85,AED,qualification,partner,rep_12,2025-02-14,2025-04-15,15,0.75,True,healthcare,10,1
opp_173,cust_167,20675.22,AED,proposal,partner,rep_10,2025-06-23,2025-09-01,17,0.7,False,saas,12,1
opp_174,cust_63,8271.08,AED,proposal,outbound,rep_6,2026-01-17,2026-04-03,5,0.49,True,finance,8,0
opp_175,cust_105,19400.64,AED,qualification,website,rep_11,2025-06-04,2025-06-26,44,0.78,True,logistics,11,0
opp_176,cust_137,14398.38,AED,qualification,referral,rep_9,2025-11-08,2026-01-22,3,0.89,True,logistics,1,1
opp_177,cust_91,11865.0,AED,qualification,inbound,rep_3,2026-02-03,2026-03-20,2,0.6,True,telecom,12,1
opp_178,cust_133,14733.65,AED,proposal,partner,rep_9,2025-02-25,2025-04-13,20,0.38,True,healthcare,7,1
opp_179,cust_22,8177.47,AED,qualification,referral,rep_2,2025-02-28,2025-04-20,22,0.26,True,logistics,2,0
opp_180,cust_116,10289.79,AED,prospecting,referral,rep_6,2025-02-24,2025-05-05,2,0.41,False,telecom,15,0
opp_181,cust_119,10330.58,AED,closed_won,inbound,rep_4,2025-06-24,2025-09-17,13,0.75,True,logistics,14,1
opp_182,cust_55,22829.49,AED,prospecting,partner,rep_4,2025-08-13,2025-10-15,0,0.8,True,logistics,12,1
opp_183,cust_164,6564.56,AED,closed_won,inbound,rep_6,2025-12-15,2026-03-01,3,0.2,True,healthcare,3,1
opp_184,cust_152,21092.28,AED,qualification,inbound,rep_2,2026-01-02,2026-02-23,0,0.5,True,saas,15,0
opp_185,cust_138,12995.18,AED,prospecting,referral,rep_12,2025-08-10,2025-09-16,18,0.71,True,retail,11,1
opp_186,cust_50,29116.5,AED,proposal,partner,rep_7,2025-07-08,2025-07-23,10,0.72,True,healthcare,11,1
opp_187,cust_44,15411.14,AED,negotiation,partner,rep_8,2025-05-26,2025-07-07,2,0.46,True,finance,11,1
opp_188,cust_109,12180.47,AED,proposal,inbound,rep_2,2026-01-30,2026-04-10,4,0.33,True,logistics,6,0
opp_189,cust_157,2623.32,AED,negotiation,referral,rep_11,2025-12-24,2026-02-20,10,0.59,True,healthcare,7,0
opp_190,cust_75,11848.02,AED,prospecting,outbound,rep_5,2025-11-07,2026-01-28,19,0.99,True,healthcare,0,1
opp_191,cust_83,4550.05,AED,closed_lost,inbound,rep_4,2025-12-31,2026-01-30,24,0.79,True,logistics,6,0
opp_192,cust_72,8201.22,AED,qualification,outbound,rep_12,2025-11-26,2025-12-21,5,0.59,True,saas,6,1
opp_193,cust_137,16515.97,AED,proposal,partner,rep_7,2025-12-12,2026-02-09,12,0.54,True,finance,9,0
opp_194,cust_175,6237.77,AED,closed_won,partner,rep_1,2025-10-22,2026-01-06,9,0.2,False,logistics,17,1
opp_195,cust_78,27783.95,AED,negotiation,partner,rep_3,2025-12-24,2026-01-23,14,1.0,True,saas,11,0
opp_196,cust_60,17696.07,AED,prospecting,referral,rep_7,2025-07-27,2025-09-18,11,0.75,True,logistics,12,0
opp_197,cust_27,8888.38,AED,prospecting,outbound,rep_2,2025-02-11,2025-03-26,12,0.43,True,saas,9,0
opp_198,cust_55,3020.6,AED,prospecting,outbound,rep_11,2025-11-14,2025-12-19,2,0.88,True,finance,2,1
opp_199,cust_64,11785.56,AED,proposal,partner,rep_5,2025-08-13,2025-10-06,8,0.61,True,retail,14,0
opp_200,cust_14,4024.33,AED,proposal,website,rep_4,2025-04-12,2025-06-15,10,0.77,True,telecom,3,1
opp_201,cust_175,6908.89,AED,qualification,website,rep_3,2025-10-24,2025-12-30,21,0.97,True,telecom,12,1
opp_202,cust_109,8335.58,AED,prospecting,inbound,rep_12,2026-01-05,2026-03-24,18,0.57,True,logistics,8,0
opp_203,cust_112,5984.52,AED,proposal,website,rep_12,2026-01-31,2026-02-22,15,0.6,True,retail,17,1
opp_204,cust_36,11415.26,AED,prospecting,inbound,rep_12,2025-12-13,2026-01-18,16,0.79,False,finance,6,1
opp_205,cust_70,13591.09,AED,closed_lost,website,rep_9,2025-01-21,2025-03-18,9,0.14,False,logistics,7,0
opp_206,cust_173,6156.67,AED,closed_lost,inbound,rep_12,2026-02-05,2026-03-04,0,0.76,False,logistics,8,0
opp_207,cust_168,18299.56,AED,proposal,inbound,rep_7,2025-01-24,2025-04-18,10,0.57,True,retail,12,0
opp_208,cust_133,7282.77,AED,qualification,referral,rep_1,2025-02-01,2025-03-09,11,0.61,True,telecom,9,1
opp_209,cust_152,7925.14,AED,closed_won,referral,rep_8,2025-06-10,2025-07-25,3,0.58,True,retail,12,1
opp_210,cust_178,3623.64,AED,negotiation,website,rep_1,2025-05-05,2025-07-27,12,0.68,True,telecom,4,1
opp_211,cust_24,5329.51,AED,negotiation,partner,rep_1,2025-02-05,2025-03-09,0,0.76,True,healthcare,12,1
opp_212,cust_146,12041.56,AED,qualification,referral,rep_1,2025-11-28,2026-01-31,0,0.71,True,retail,10,1
opp_213,cust_35,6759.65,AED,qualification,referral,rep_10,2025-05-05,2025-05-28,0,0.85,False,telecom,0,0
opp_214,cust_31,4717.38,AED,prospecting,partner,rep_2,2025-08-25,2025-10-17,10,0.81,False,logistics,10,1
opp_215,cust_67,6190.0,AED,qualification,website,rep_3,2025-09-25,2025-10-15,16,0.95,False,finance,6,0
opp_216,cust_57,7844.48,AED,closed_won,website,rep_3,2025-03-18,2025-04-16,11,0.63,True,finance,4,1
opp_217,cust_119,9154.73,AED,qualification,inbound,rep_1,2025-06-24,2025-07-23,8,0.4,False,healthcare,8,1
opp_218,cust_39,8635.92,AED,qualification,partner,rep_1,2025-04-11,2025-05-30,2,0.51,True,healthcare,8,1
opp_219,cust_140,7770.63,AED,qualification,referral,rep_1,2025-12-01,2026-02-20,12,0.09,True,logistics,5,0
opp_220,cust_153,11116.8,AED,qualification,website,rep_4,2025-05-24,2025-06-30,13,0.56,False,saas,3,1
opp_221,cust_15,2442.05,AED,prospecting,partner,rep_4,2025-05-22,2025-08-12,8,0.18,True,finance,21,0
opp_222,cust_91,33393.19,AED,qualification,outbound,rep_10,2025-11-04,2025-11-21,18,0.55,True,healthcare,13,0
opp_223,cust_158,11210.05,AED,closed_lost,partner,rep_4,2025-09-07,2025-09-21,10,0.42,True,saas,9,0
opp_224,cust_19,13179.0,AED,negotiation,referral,rep_6,2025-03-03,2025-05-23,17,0.57,True,logistics,9,0
opp_225,cust_144,8021.15,AED,qualification,inbound,rep_12,2025-09-12,2025-11-05,19,0.45,True,healthcare,16,1
opp_226,cust_1,5715.69,AED,negotiation,outbound,rep_12,2025-06-05,2025-07-05,2,0.5,True,finance,0,1
opp_227,cust_20,4575.73,AED,closed_won,website,rep_4,2025-09-17,2025-10-19,14,0.84,True,saas,19,1
opp_228,cust_178,14980.67,AED,prospecting,inbound,rep_2,2025-01-11,2025-02-27,18,0.28,True,telecom,1,0
