safe_feature,region,post_outcome_feature,target_proxy,outcome
37.99538017331156,S,0.0,0,0
32.966367968218755,N,1.0,100,1
20.290450008255796,N,1.0,100,1
24.81517623905364,S,0.0,0,0
58.305081589364725,S,0.0,0,0
26.719239248741403,S,1.0,100,1
45.154656911504716,N,0.0,0,0
35.59424700296542,S,0.0,0,0
46.13593304660179,N,0.0,0,0
47.627566097774476,S,1.0,100,1
30.68458221308121,N,0.0,0,0
36.49762082372368,N,0.0,0,0
41.59227378364403,S,1.0,100,1
41.37457302005193,N,0.0,0,0
40.05788208534377,S,1.0,100,1
36.24079321833768,N,0.0,0,0
47.55290979030888,S,0.0,0,0
56.20522627017422,N,1.0,100,1
46.48605966240983,S,0.0,0,0
31.518325523565075,N,1.0,100,1
44.751384284896766,S,0.0,0,0
41.13324983314438,N,1.0,100,1
45.53954392286942,N,0.0,0,0
62.13811653486887,N,0.0,0,0
37.832560186778366,S,1.0,100,1
40.261976397243465,N,1.0,100,1
29.760468341236,N,1.0,100,1
36.932616483467136,S,1.0,100,1
33.17019560228633,N,0.0,0,0
59.59797945358873,S,1.0,100,1
44.04769371146392,N,1.0,100,1
33.536984362578735,N,1.0,100,1
63.15362926808379,N,0.0,0,0
24.06231436462194,N,0.0,0,0
50.73513904436089,S,1.0,100,1
52.59492985824343,S,1.0,100,1
47.28735381389265,N,1.0,100,1
36.86617370488208,N,0.0,0,0
38.847260388300136,N,1.0,100,1
36.27854791937919,N,1.0,100,1
49.43289163381428,N,0.0,0,0
12.452928776333621,S,1.0,100,1
34.265092770360916,S,1.0,100,1
41.823330509421616,N,0.0,0,0
33.02601543849822,N,0.0,0,0
18.58890720840353,N,1.0,100,1
37.48605460523914,N,1.0,100,1
30.937997851559114,S,0.0,0,0
49.6032090530586,N,0.0,0,0
56.768845141936424,S,0.0,0,0
40.832562681480624,N,0.0,0,0
17.190480940878675,N,1.0,100,1
38.045703271732975,S,1.0,100,1
28.91046958851238,S,0.0,0,0
48.58418635444932,S,1.0,100,1
60.2974919314724,N,0.0,0,0
44.209123737867166,S,1.0,100,1
64.42299277243764,S,0.0,0,0
58.574668095486516,N,1.0,100,1
48.35835448702033,S,0.0,0,0
29.677021655538898,S,0.0,0,0
42.506655431592165,S,0.0,0,0
24.329731893136277,S,1.0,100,1
53.81135417003442,S,0.0,0,0
43.264792217994376,S,1.0,100,1
57.98639978707929,S,0.0,0,0
45.44279350859295,S,1.0,100,1
18.74866339364153,S,1.0,100,1
49.85210490375867,N,1.0,100,1
53.29380894775879,N,1.0,100,1
62.110577205411175,S,1.0,100,1
30.090340214197962,N,0.0,0,0
31.092109367613475,N,1.0,100,1
42.94290285279963,N,1.0,100,1
29.4976821809068,S,1.0,100,1
25.219204767226476,N,0.0,0,0
28.968849263032936,N,1.0,100,1
73.1562114091426,N,1.0,100,1
34.00707155842961,S,0.0,0,0
29.3076861196762,N,0.0,0,0
36.4184461149272,S,1.0,100,1
41.350837315338275,S,0.0,0,0
57.16771642213355,S,1.0,100,1
53.00094256183918,N,1.0,100,1
51.10599058716955,N,1.0,100,1
41.7659871722101,S,0.0,0,0
43.10890073012729,S,0.0,0,0
33.965615005200505,S,1.0,100,1
23.14899293801942,S,0.0,0,0
66.07219264911612,N,1.0,100,1
35.723517563502014,N,0.0,0,0
53.34945363121853,N,0.0,0,0
37.3844114396561,N,0.0,0,0
40.48214708449862,S,1.0,100,1
39.716677385559706,N,1.0,100,1
25.02364566845105,S,1.0,100,1
40.20346994381359,N,0.0,0,0
46.1031392920541,S,1.0,100,1
51.47165641892527,N,1.0,100,1
47.443584071096595,N,1.0,100,1
53.74649277620491,S,1.0,100,1
44.62818056237609,S,0.0,0,0
41.41326437292962,N,1.0,100,1
17.46340586534968,N,0.0,0,0
34.614598197696395,N,0.0,0,0
60.08288304671885,S,1.0,100,1
42.892379352984804,N,1.0,100,1
50.9879028467902,N,1.0,100,1
38.87657985675155,N,1.0,100,1
32.93202349165006,S,0.0,0,0
65.58642953753983,N,0.0,0,0
45.30729707398715,S,0.0,0,0
59.35073579702748,N,1.0,100,1
47.77664433545965,N,1.0,100,1
37.86588388700991,S,1.0,100,1
14.46831903683526,N,1.0,100,1
42.09113893703513,N,0.0,0,0
22.191053000024638,S,0.0,0,0
14.331888367571416,N,0.0,0,0
55.878333408480074,N,0.0,0,0
49.65626220348574,S,0.0,0,0
48.68636997180293,N,0.0,0,0
41.968422927064154,N,1.0,100,1
40.5365688977869,S,0.0,0,0
46.44690634772723,N,1.0,100,1
42.83146860796284,N,0.0,0,0
41.81280991855048,N,0.0,0,0
50.246438881321346,S,1.0,100,1
11.434869557840734,S,0.0,0,0
51.65155829652914,S,0.0,0,0
33.71611717580298,N,1.0,100,1
51.164909811721515,N,0.0,0,0
54.98566335604909,S,0.0,0,0
30.72433307018832,N,0.0,0,0
50.3341994688294,N,0.0,0,0
50.14553635039921,S,0.0,0,0
