tenure,MonthlyCharges,contract,churn
60,99.91963797161148,Two year,No
54,52.22867247398318,Month-to-month,No
29,99.66391827460546,Month-to-month,Yes
36,42.53284418756651,Month-to-month,Yes
30,56.23079504845691,One year,No
38,61.74481122043798,Two year,No
17,74.14099836301645,Month-to-month,Yes
56,31.26136655405572,Month-to-month,Yes
6,60.694780063930615,One year,No
30,20.03006901069229,Two year,No
21,94.43807263473991,Month-to-month,Yes
53,105.1875912234257,Two year,No
54,33.893167912019756,Two year,No
51,90.37857692667978,One year,No
66,102.11030883946387,Month-to-month,Yes
67,118.18283228717938,One year,No
14,104.37905623687267,Two year,Yes
9,62.41064854440128,Two year,No
10,117.96887085096564,Month-to-month,Yes
52,117.39844048523551,Two year,No
69,70.36769792005789,One year,No
66,95.34465385839052,Two year,No
48,111.38376676731629,Two year,No
69,67.6147071968753,Two year,No
62,106.3786241097085,Two year,No
2,90.15685660618728,Two year,No
9,49.39242559745576,One year,No
62,96.76522699834736,Two year,No
6,77.0684785859499,One year,No
70,29.384515343330623,Two year,No
59,59.138042630466416,Month-to-month,No
68,27.37410133978059,Month-to-month,Yes
26,67.61669632169956,One year,Yes
11,62.85396081429238,Two year,No
37,62.37374429704474,Two year,No
70,78.63003535907843,Month-to-month,Yes
27,32.269066017607344,Two year,No
64,113.37689099568426,One year,No
28,88.4050448075033,Two year,Yes
59,102.37813583927716,One year,No
