age,income,region,outcome
37.51728490345307,44239.49070474404,S,1
35.99528795435038,57227.93475687728,N,0
40.68027945872554,50970.21807455773,N,1
36.482773367719346,48884.88935552203,S,1
49.03853690127257,50459.333296338926,S,0
36.12164889057004,48378.00512120035,S,1
38.36020484444939,54920.042110487746,N,0
32.02262396804977,52482.78056354466,S,1
33.68182191861715,47204.26282852942,N,0
24.826086510163453,58050.045966524456,S,0
46.22541905053557,45108.19508188939,S,1
26.289783788170094,52295.46914453962,S,1
31.049723221740102,53377.24297001852,S,0
44.310935824134454,61830.45647869224,S,1
44.83088039133439,45956.46909320825,N,0
35.198622987939146,63944.65957048325,S,1
15.76881027413438,51409.319612979394,N,0
45.046159447546906,48448.18471477942,N,0
43.11476150670472,44620.21799249111,N,1
23.051425414338695,54690.347352436256,S,1
49.243864993533954,50391.48195553905,N,1
31.586802394798884,41171.125872577715,N,0
26.485742606160393,40976.902589930905,S,0
41.14876853157108,45555.84633759573,N,1
37.85835482320942,44591.951969030655,N,1
42.43148801189377,58722.419133817675,N,1
20.731023300106738,61004.306383761425,S,1
61.74676139526848,56948.476990940064,S,0
32.768096625475266,52862.95112024851,S,1
21.52408829804307,46574.094337243136,N,0
47.426106262805796,50435.86568736196,N,1
35.74235043878588,57077.65604822837,S,1
43.89830182927484,67047.7778697865,S,0
35.92469883249954,57303.19364241435,N,1
39.28311567424096,47756.702845642205,N,1
42.94927412486361,50304.200606167105,N,1
31.04016539220522,46139.640790785335,N,1
48.1448751503147,43740.81139240467,N,1
34.361198811045476,48526.06398225629,N,1
29.56375426995433,51564.917537640926,N,1
40.92438906187003,64687.21269342051,S,0
45.340495341892506,50416.259759627144,N,1
37.251047900576324,60858.864599707485,S,0
29.649762555045246,64139.9126489979,S,0
47.437426795703594,50630.46296207765,N,1
18.876054494526677,62862.39110092991,S,1
27.629630367573604,55719.48323655107,S,0
40.47427468640061,46659.71764032307,N,1
23.66728722033919,52121.440198791024,N,0
40.33593117099003,50183.022544359446,N,1
39.34164258377844,48141.28776044039,N,1
50.78487746629802,48409.75013604053,N,1
29.022515778240503,51153.67442778391,N,1
32.48912171630029,53473.44912385773,N,0
43.998180216412,42920.94499873017,S,0
10.509236917530313,49924.89870403045,S,0
77.20050758697501,37821.15982443996,S,1
31.61619123445877,52086.36399424166,N,1
31.241979367293307,54988.79580625107,N,1
50.33353013084455,51311.63870687845,S,0
39.52201790277179,52286.82521534994,S,1
18.646856575556907,54719.54482847733,S,0
47.52312856111135,44679.193246264,S,1
50.264534007990505,48087.60912540329,S,0
34.600644718288706,54087.376350526276,N,0
36.6207957004957,58015.085877833146,S,0
45.8318151671127,53159.37121076202,N,1
29.094637001026605,70422.87537884155,S,1
45.2606627704829,49269.11542252103,N,1
42.391582125333976,57997.28343483877,S,0
31.900808610688983,60133.821426000664,S,1
23.294777514257866,48929.841229265774,S,1
37.29273003086696,43435.89694237806,N,1
29.494932900877977,40539.17657978247,N,1
52.01692270816197,51298.21599863337,N,0
41.72902442199908,58882.33563631063,N,0
49.385014270718756,52173.34719084334,S,0
41.6154632241335,51382.84860295803,S,1
43.15481340502037,46966.28893589835,N,0
30.604012993235433,54488.237862348564,S,1
48.01656911886574,32913.35158845022,N,1
61.416379291684294,51858.98601099774,N,1
36.2837493337895,50225.01047642368,N,0
32.88670566743021,39037.27802750607,N,0
38.10595957371577,67404.7833931509,S,1
34.22463659678652,38900.69414756331,N,1
31.58224841615752,41379.83602521872,N,1
41.658323727618004,40393.095139577395,S,1
36.508989603398916,58882.9424140695,S,1
57.26648312611191,42895.32111072647,N,0
40.00241971546149,55349.2513037137,S,0
43.88694373157714,54700.08122017001,N,0
51.42426241599762,52077.363288385124,S,1
36.39092976994549,39539.368746744716,N,0
57.240838481067264,45103.14897609744,N,0
32.40766944975865,63384.91976027261,S,0
30.3000675773665,39673.96480493905,S,0
35.60479577379697,43346.760317052496,S,0
38.62339129639436,48702.02781775697,N,0
23.18418159881138,56471.92057629897,N,0
39.57886259045384,52013.113524838955,S,1
19.990160914726946,55936.35327436271,S,0
56.705660806545986,41461.646136224044,N,0
39.02803658310767,57558.212751328094,S,0
32.29650730364831,54552.23053263058,S,0
29.09994258059713,37243.48355901093,N,0
35.38683430950164,62319.32966325816,N,1
37.32304637883488,68339.18288140206,S,0
27.465868412663674,43851.38114282635,S,1
28.962458874125986,50445.22253293363,S,0
37.75389993926156,61179.38066486036,S,0
33.75059502645231,38150.07816458238,N,1
51.27055724413985,34081.117447442,N,0
53.6544444909463,39624.44702240062,N,1
40.19225444319868,45463.46570915147,S,0
