external_id,created_at,orders_30d,orders_90d,average_order_value,days_since_last_purchase,product_views_7d,cart_additions,cart_abandonments,email_clicks,discount_usage,website_sessions,mobile_sessions,category_preferences,price_sensitivity,campaign_exposure,historical_discount,expected_margin,purchased_7d,true_p0_purchase
S-30053,2026-04-13,5.0,7.0,51.14,41.0,27.0,0.0,2.0,5.0,0.0,17.0,12.0,1.0,0.7691,5.0,0.0,21.48,1,0.8299
S-30054,2026-02-07,5.0,9.0,93.21,16.0,32.0,2.0,1.0,7.0,1.0,14.0,0.0,2.0,0.4737,5.0,1.0,39.15,1,0.9627
S-30055,2025-02-01,1.0,7.0,82.12,5.0,38.0,5.0,3.0,2.0,2.0,12.0,13.0,1.0,0.4503,5.0,0.0,34.49,1,0.8854
S-30056,2026-02-21,4.0,8.0,83.0,18.0,21.0,0.0,1.0,3.0,3.0,3.0,12.0,3.0,0.8545,5.0,1.0,34.86,1,0.6704
S-30057,2025-06-03,4.0,4.0,139.03,33.0,39.0,6.0,4.0,3.0,3.0,5.0,3.0,5.0,0.6702,4.0,1.0,58.39,1,0.8998
S-30058,2025-05-27,1.0,4.0,112.2,16.0,22.0,2.0,0.0,5.0,3.0,9.0,4.0,1.0,0.0665,0.0,1.0,47.12,1,0.7558
S-30059,2025-02-18,4.0,10.0,135.92,7.0,9.0,7.0,4.0,2.0,0.0,19.0,12.0,0.0,0.4162,7.0,1.0,57.09,1,0.9337
S-30060,2026-01-28,3.0,6.0,62.46,7.0,34.0,2.0,1.0,1.0,1.0,14.0,0.0,3.0,0.2667,5.0,1.0,26.23,1,0.8943
S-30061,2026-05-17,1.0,1.0,38.14,39.0,6.0,3.0,2.0,2.0,1.0,7.0,3.0,1.0,0.9295,3.0,0.0,16.02,1,0.3263
S-30062,2026-01-22,2.0,9.0,53.43,15.0,23.0,3.0,1.0,0.0,3.0,14.0,7.0,1.0,0.3421,6.0,0.0,22.44,0,0.7867
S-30063,2025-12-07,0.0,1.0,129.84,43.0,4.0,0.0,0.0,5.0,3.0,17.0,2.0,3.0,0.2147,7.0,0.0,54.53,0,0.3329
S-30064,2025-10-28,2.0,9.0,114.56,6.0,18.0,7.0,4.0,1.0,1.0,5.0,9.0,5.0,0.2962,7.0,1.0,48.12,1,0.7974
S-30065,2025-08-06,4.0,10.0,120.94,7.0,15.0,4.0,0.0,4.0,2.0,2.0,9.0,1.0,0.5742,3.0,1.0,50.79,1,0.8952
S-30066,2025-12-14,3.0,4.0,40.19,21.0,18.0,2.0,3.0,7.0,1.0,4.0,11.0,5.0,0.5438,4.0,0.0,16.88,0,0.6953
S-30067,2025-03-26,2.0,3.0,74.34,36.0,39.0,4.0,1.0,9.0,3.0,17.0,11.0,0.0,0.5793,2.0,1.0,31.22,1,0.9507
S-30068,2025-05-15,5.0,5.0,101.16,11.0,13.0,4.0,1.0,6.0,2.0,17.0,2.0,0.0,0.6772,3.0,1.0,42.49,1,0.9621
S-30069,2026-04-12,1.0,4.0,129.29,10.0,10.0,4.0,4.0,2.0,2.0,19.0,11.0,1.0,0.1256,4.0,0.0,54.3,0,0.6726
S-30070,2025-04-17,1.0,3.0,35.88,31.0,14.0,5.0,4.0,6.0,0.0,5.0,6.0,4.0,0.8,2.0,1.0,15.07,0,0.5683
S-30071,2025-12-06,1.0,4.0,23.26,40.0,26.0,7.0,0.0,2.0,3.0,19.0,1.0,4.0,0.4028,7.0,1.0,9.77,1,0.9113
S-30072,2026-03-02,2.0,3.0,92.22,51.0,24.0,3.0,2.0,7.0,2.0,17.0,11.0,5.0,0.1581,0.0,1.0,38.73,1,0.7764
S-30073,2025-08-12,5.0,6.0,98.28,58.0,24.0,4.0,4.0,6.0,2.0,2.0,1.0,0.0,0.0706,5.0,0.0,41.28,1,0.7191
S-30074,2026-03-06,3.0,9.0,54.68,33.0,39.0,6.0,3.0,4.0,1.0,7.0,1.0,2.0,0.6959,4.0,0.0,22.96,1,0.9093
S-30075,2025-06-24,3.0,6.0,54.9,11.0,3.0,2.0,4.0,8.0,0.0,18.0,10.0,1.0,0.6697,6.0,1.0,23.06,1,0.7712
S-30076,2025-06-25,5.0,12.0,28.32,31.0,17.0,0.0,1.0,2.0,1.0,18.0,13.0,1.0,0.669,7.0,1.0,11.9,1,0.7949
S-30077,2026-01-19,3.0,8.0,121.53,26.0,0.0,5.0,2.0,4.0,1.0,11.0,9.0,0.0,0.2227,3.0,0.0,51.04,1,0.7503
S-30078,2026-01-07,3.0,6.0,92.8,22.0,21.0,3.0,4.0,6.0,0.0,16.0,14.0,0.0,0.5765,5.0,0.0,38.98,1,0.8292
S-30079,2026-04-28,0.0,5.0,131.65,30.0,25.0,4.0,4.0,9.0,3.0,9.0,1.0,5.0,0.5155,0.0,0.0,55.29,1,0.6704
S-30080,2025-09-30,1.0,7.0,100.39,18.0,8.0,4.0,2.0,8.0,3.0,18.0,7.0,1.0,0.7326,0.0,1.0,42.16,1,0.8235
S-30081,2025-04-06,5.0,5.0,49.14,12.0,10.0,0.0,1.0,3.0,2.0,14.0,6.0,1.0,0.3277,7.0,1.0,20.64,1,0.8069
S-30082,2026-01-02,4.0,4.0,36.02,13.0,39.0,6.0,4.0,7.0,0.0,18.0,11.0,1.0,0.083,2.0,1.0,15.13,1,0.9812
S-30083,2026-01-26,1.0,3.0,92.33,53.0,0.0,7.0,0.0,0.0,0.0,13.0,10.0,0.0,0.4562,3.0,1.0,38.78,1,0.5903
S-30084,2025-06-09,3.0,7.0,107.52,22.0,33.0,4.0,1.0,7.0,3.0,16.0,0.0,0.0,0.4974,1.0,1.0,45.16,1,0.9577
S-30085,2025-11-08,4.0,9.0,64.24,5.0,4.0,3.0,1.0,0.0,3.0,19.0,5.0,5.0,0.5751,2.0,1.0,26.98,0,0.8575
S-30086,2025-07-31,0.0,6.0,103.94,36.0,8.0,3.0,3.0,4.0,0.0,6.0,0.0,5.0,0.859,0.0,1.0,43.65,1,0.2769
S-30087,2025-11-08,5.0,7.0,95.99,0.0,14.0,5.0,0.0,5.0,2.0,8.0,8.0,0.0,0.7043,3.0,1.0,40.32,1,0.9674
S-30088,2026-05-03,1.0,5.0,20.8,38.0,20.0,3.0,3.0,0.0,2.0,8.0,11.0,4.0,0.3977,6.0,0.0,8.74,1,0.3682
S-30089,2026-03-23,1.0,7.0,139.35,52.0,24.0,4.0,3.0,4.0,0.0,11.0,9.0,5.0,0.3571,4.0,0.0,58.53,0,0.5523
S-30090,2025-03-23,5.0,12.0,136.6,58.0,30.0,5.0,3.0,9.0,3.0,7.0,9.0,5.0,0.4156,1.0,0.0,57.37,0,0.9121
S-30091,2026-01-01,5.0,7.0,67.38,31.0,0.0,2.0,4.0,3.0,1.0,2.0,14.0,3.0,0.2959,6.0,1.0,28.3,0,0.4341
S-30092,2025-01-11,1.0,2.0,55.79,33.0,15.0,3.0,1.0,0.0,0.0,5.0,2.0,5.0,0.6646,1.0,1.0,23.43,1,0.4122
S-30093,2025-04-25,5.0,10.0,92.83,3.0,18.0,3.0,0.0,6.0,3.0,12.0,11.0,5.0,0.3805,5.0,1.0,38.99,1,0.9636
S-30094,2025-12-26,3.0,6.0,21.02,0.0,17.0,0.0,1.0,0.0,3.0,14.0,11.0,2.0,0.238,1.0,1.0,8.83,1,0.7211
S-30095,2025-08-04,3.0,4.0,77.91,14.0,2.0,2.0,2.0,5.0,1.0,3.0,12.0,5.0,0.6511,3.0,1.0,32.72,1,0.5695
S-30096,2025-06-11,2.0,7.0,84.93,47.0,29.0,2.0,1.0,0.0,2.0,4.0,8.0,4.0,0.8038,5.0,0.0,35.67,1,0.4663
S-30097,2025-06-23,4.0,11.0,121.45,2.0,29.0,3.0,2.0,3.0,0.0,12.0,3.0,2.0,0.473,2.0,1.0,51.01,1,0.9302
S-30098,2026-04-02,3.0,4.0,117.34,39.0,16.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.4029,4.0,1.0,49.28,0,0.3906
S-30099,2025-09-12,1.0,5.0,90.1,32.0,6.0,1.0,0.0,2.0,0.0,2.0,13.0,2.0,0.6725,5.0,0.0,37.84,1,0.2749
S-30100,2025-09-25,0.0,7.0,35.54,27.0,2.0,7.0,2.0,3.0,1.0,9.0,2.0,1.0,0.6928,2.0,1.0,14.93,1,0.6047
S-30101,2025-12-25,4.0,11.0,53.33,38.0,37.0,5.0,4.0,8.0,3.0,16.0,3.0,3.0,0.7665,4.0,1.0,22.4,1,0.9512
S-30102,2026-05-16,2.0,3.0,58.94,30.0,39.0,3.0,3.0,1.0,3.0,5.0,0.0,3.0,0.7696,4.0,1.0,24.75,1,0.6704
S-30103,2026-04-30,2.0,3.0,29.22,10.0,29.0,0.0,3.0,7.0,0.0,14.0,3.0,3.0,0.3269,7.0,1.0,12.27,1,0.7738
S-30104,2025-05-01,5.0,10.0,59.83,32.0,20.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,0.3734,4.0,0.0,25.13,0,0.7369
S-30105,2025-09-24,1.0,7.0,34.96,31.0,38.0,6.0,0.0,9.0,2.0,1.0,13.0,1.0,0.5011,6.0,1.0,14.68,1,0.9252
S-30106,2025-04-21,0.0,4.0,58.12,58.0,8.0,4.0,0.0,5.0,0.0,19.0,11.0,2.0,0.663,2.0,1.0,24.41,1,0.5818
S-30107,2025-09-10,4.0,7.0,34.1,9.0,14.0,1.0,0.0,3.0,0.0,5.0,5.0,5.0,0.4492,5.0,0.0,14.32,0,0.7816
S-30108,2025-10-19,4.0,11.0,73.72,54.0,23.0,2.0,3.0,6.0,1.0,11.0,4.0,0.0,0.7413,1.0,1.0,30.96,0,0.7006
S-30109,2025-04-15,2.0,4.0,100.33,25.0,29.0,3.0,0.0,7.0,2.0,16.0,9.0,4.0,0.6273,0.0,1.0,42.14,1,0.9224
S-30110,2025-08-19,5.0,10.0,104.46,36.0,17.0,0.0,1.0,1.0,0.0,6.0,0.0,4.0,0.0732,0.0,0.0,43.87,1,0.5963
S-30111,2025-09-09,4.0,9.0,131.64,28.0,29.0,7.0,4.0,9.0,1.0,6.0,7.0,2.0,0.3157,7.0,1.0,55.29,1,0.9517
S-30112,2026-03-02,1.0,5.0,112.56,32.0,7.0,6.0,4.0,2.0,3.0,15.0,11.0,5.0,0.7338,2.0,0.0,47.28,1,0.5915
S-30113,2026-03-19,5.0,9.0,44.88,55.0,20.0,6.0,0.0,7.0,1.0,6.0,1.0,2.0,0.3071,6.0,0.0,18.85,1,0.9343
S-30114,2025-06-23,3.0,7.0,95.21,50.0,16.0,0.0,3.0,9.0,2.0,12.0,1.0,0.0,0.6412,0.0,1.0,39.99,1,0.5449
S-30115,2025-07-08,1.0,8.0,121.23,7.0,10.0,3.0,3.0,1.0,3.0,11.0,8.0,2.0,0.8275,7.0,1.0,50.92,1,0.5337
S-30116,2026-05-03,4.0,11.0,60.97,20.0,28.0,1.0,0.0,2.0,0.0,19.0,3.0,0.0,0.0987,4.0,1.0,25.61,1,0.9072
S-30117,2025-05-21,1.0,1.0,82.49,11.0,13.0,4.0,1.0,5.0,1.0,11.0,12.0,0.0,0.6942,0.0,1.0,34.65,1,0.7949
S-30118,2025-10-18,2.0,6.0,27.68,59.0,1.0,4.0,4.0,9.0,3.0,12.0,4.0,1.0,0.5274,3.0,1.0,11.63,0,0.4763
S-30119,2025-04-07,1.0,1.0,93.12,3.0,21.0,2.0,1.0,6.0,0.0,5.0,12.0,3.0,0.5819,4.0,1.0,39.11,1,0.7455
S-30120,2025-04-04,1.0,6.0,36.56,11.0,14.0,4.0,3.0,2.0,2.0,4.0,13.0,2.0,0.1662,5.0,0.0,15.36,0,0.5436
S-30121,2025-12-14,2.0,3.0,119.09,14.0,28.0,7.0,4.0,9.0,0.0,15.0,10.0,0.0,0.2364,2.0,1.0,50.02,1,0.9581
S-30122,2026-04-17,5.0,8.0,83.99,12.0,24.0,5.0,0.0,8.0,1.0,16.0,1.0,2.0,0.8026,0.0,0.0,35.28,1,0.987
S-30123,2025-01-31,4.0,9.0,56.77,45.0,30.0,5.0,3.0,9.0,2.0,15.0,0.0,5.0,0.6812,2.0,1.0,23.84,1,0.9424
S-30124,2025-02-01,3.0,3.0,62.88,9.0,36.0,0.0,3.0,6.0,3.0,1.0,6.0,5.0,0.3888,5.0,1.0,26.41,0,0.7281
S-30125,2025-05-25,2.0,5.0,27.36,22.0,19.0,2.0,3.0,8.0,2.0,4.0,12.0,0.0,0.3492,3.0,1.0,11.49,1,0.6479
S-30126,2025-09-20,3.0,8.0,22.98,18.0,3.0,0.0,4.0,2.0,0.0,8.0,0.0,1.0,0.5976,6.0,1.0,9.65,1,0.3015
S-30127,2025-05-07,4.0,9.0,35.15,19.0,7.0,0.0,1.0,8.0,0.0,3.0,12.0,4.0,0.0213,1.0,1.0,14.76,1,0.6737
S-30128,2025-12-28,1.0,3.0,31.95,42.0,37.0,1.0,3.0,2.0,3.0,6.0,9.0,5.0,0.281,6.0,0.0,13.42,0,0.4013
S-30129,2025-11-25,5.0,12.0,125.95,41.0,30.0,1.0,4.0,3.0,0.0,3.0,2.0,2.0,0.8282,0.0,0.0,52.9,1,0.6142
S-30130,2025-09-27,0.0,2.0,81.76,4.0,13.0,3.0,0.0,9.0,0.0,14.0,9.0,4.0,0.2791,6.0,0.0,34.34,1,0.8557
S-30131,2026-05-09,1.0,4.0,55.83,42.0,6.0,2.0,1.0,8.0,1.0,17.0,10.0,2.0,0.5657,2.0,0.0,23.45,1,0.613
S-30132,2026-03-06,2.0,4.0,52.93,44.0,4.0,3.0,3.0,4.0,1.0,15.0,4.0,4.0,0.2846,5.0,0.0,22.23,1,0.48
S-30133,2025-12-28,4.0,9.0,23.4,47.0,25.0,3.0,0.0,0.0,3.0,6.0,4.0,3.0,0.5125,0.0,0.0,9.83,1,0.7359
S-30134,2025-09-18,0.0,2.0,91.99,10.0,38.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,0.8255,2.0,1.0,38.64,1,0.6525
S-30135,2025-06-21,2.0,2.0,111.96,31.0,39.0,5.0,0.0,2.0,1.0,5.0,0.0,3.0,0.294,6.0,1.0,47.02,1,0.8834
S-30136,2025-02-06,5.0,7.0,138.8,45.0,26.0,6.0,3.0,8.0,3.0,3.0,2.0,5.0,0.4787,0.0,1.0,58.29,1,0.9187
S-30137,2026-02-26,2.0,8.0,80.5,51.0,29.0,3.0,4.0,3.0,3.0,17.0,1.0,1.0,0.4089,1.0,1.0,33.81,0,0.6283
S-30138,2025-03-31,5.0,12.0,27.67,36.0,35.0,0.0,3.0,7.0,2.0,13.0,14.0,1.0,0.46,0.0,0.0,11.62,1,0.8594
S-30139,2025-05-23,3.0,4.0,65.92,35.0,30.0,5.0,3.0,6.0,2.0,6.0,3.0,4.0,0.4603,5.0,0.0,27.69,1,0.8575
S-30140,2025-05-30,4.0,5.0,137.67,5.0,22.0,5.0,0.0,7.0,0.0,4.0,9.0,2.0,0.6836,0.0,1.0,57.82,1,0.9621
S-30141,2025-04-28,0.0,7.0,47.3,40.0,36.0,4.0,1.0,3.0,3.0,15.0,3.0,4.0,0.696,5.0,0.0,19.87,1,0.7685
S-30142,2025-06-05,2.0,7.0,40.99,36.0,34.0,3.0,3.0,8.0,0.0,12.0,8.0,0.0,0.4963,4.0,1.0,17.22,0,0.8348
S-30143,2026-01-28,1.0,8.0,126.57,59.0,34.0,7.0,2.0,2.0,0.0,1.0,10.0,1.0,0.5684,5.0,0.0,53.16,1,0.6581
S-30144,2025-06-07,2.0,8.0,126.43,48.0,21.0,1.0,2.0,6.0,2.0,11.0,6.0,0.0,0.5805,7.0,1.0,53.1,0,0.5399
S-30145,2025-09-01,1.0,7.0,61.82,1.0,23.0,6.0,4.0,8.0,1.0,4.0,0.0,3.0,0.2482,1.0,1.0,25.96,1,0.8635
S-30146,2025-05-26,2.0,2.0,135.17,9.0,37.0,1.0,0.0,9.0,2.0,19.0,2.0,0.0,0.3171,6.0,0.0,56.77,1,0.955
S-30147,2026-05-17,3.0,4.0,104.69,39.0,28.0,2.0,3.0,8.0,2.0,14.0,4.0,2.0,0.7984,4.0,1.0,43.97,1,0.8168
S-30148,2026-05-08,2.0,5.0,92.38,43.0,36.0,4.0,3.0,5.0,0.0,5.0,4.0,2.0,0.3654,3.0,0.0,38.8,1,0.7359
S-30149,2025-02-08,1.0,8.0,99.28,32.0,32.0,7.0,1.0,6.0,3.0,6.0,3.0,1.0,0.8723,7.0,1.0,41.7,1,0.9047
S-30150,2025-07-01,1.0,7.0,25.58,24.0,26.0,6.0,3.0,1.0,1.0,9.0,6.0,3.0,0.3405,7.0,1.0,10.74,1,0.7446
S-30151,2025-07-18,0.0,5.0,130.76,9.0,13.0,1.0,4.0,8.0,0.0,12.0,2.0,2.0,0.4745,3.0,1.0,54.92,1,0.4938
S-30152,2026-01-02,0.0,0.0,56.09,22.0,10.0,6.0,0.0,9.0,0.0,15.0,8.0,1.0,0.6132,2.0,0.0,23.56,0,0.8919
S-30153,2025-03-19,0.0,4.0,71.36,8.0,31.0,3.0,2.0,6.0,3.0,12.0,8.0,2.0,0.8157,4.0,1.0,29.97,1,0.8146
S-30154,2025-01-29,1.0,4.0,82.99,22.0,24.0,1.0,4.0,1.0,3.0,10.0,5.0,4.0,0.4206,5.0,1.0,34.86,0,0.3729
S-30155,2026-05-22,4.0,4.0,49.91,17.0,14.0,3.0,4.0,5.0,3.0,5.0,11.0,4.0,0.1786,7.0,1.0,20.96,1,0.7301
S-30156,2025-04-11,5.0,12.0,38.3,47.0,29.0,6.0,2.0,9.0,1.0,10.0,14.0,5.0,0.6389,4.0,1.0,16.09,1,0.9629
S-30157,2025-12-20,4.0,10.0,120.7,59.0,16.0,3.0,4.0,6.0,3.0,9.0,4.0,1.0,0.5687,1.0,1.0,50.69,1,0.5951
S-30158,2025-10-23,1.0,7.0,109.28,30.0,21.0,7.0,1.0,6.0,0.0,18.0,2.0,1.0,0.4412,5.0,1.0,45.9,1,0.9296
S-30159,2026-05-16,5.0,11.0,130.34,18.0,13.0,3.0,3.0,5.0,0.0,12.0,4.0,4.0,0.1978,2.0,0.0,54.74,1,0.8721
S-30160,2025-12-09,0.0,5.0,51.49,11.0,6.0,5.0,0.0,9.0,2.0,4.0,11.0,3.0,0.52,2.0,1.0,21.62,1,0.7833
S-30161,2025-02-09,4.0,8.0,135.84,29.0,15.0,4.0,1.0,5.0,0.0,4.0,8.0,2.0,0.7746,2.0,1.0,57.05,1,0.8341
S-30162,2026-02-21,0.0,4.0,111.9,41.0,11.0,4.0,3.0,8.0,3.0,10.0,1.0,0.0,0.2772,0.0,0.0,47.0,1,0.5087
